Title,Authors,Year,Subcategory (ai task),Category (section),Approach (ai),Data modality,Url,Abstract,Venue name,Search keyword,Research problem,Bee demographic,Research demographic,Bee_country,Bee_iso,Research_country,Research_iso,Country,Iso_code,Collection time,Approach group
Automated identification of honey bee pollen loads for field-applied palynological studies,Barés et al.,2025,Classification,Pollen & Foraging Monitoring — SVM Classification of Pollen Loads via Autofluorescence Spectra,"Support Vector Machine (SVM) classifier applied to autofluorescence spectral signatures (UV/Vis spectrophotometer + dedicated portable pollen analyser prototype). Input: 334 pollen loads from 14 Mediterranean plant species; spectra measured within 4 hours of collection to prevent fluorescence drift. SVM discriminates all 14 species from spectral features alone without microscopy. Demonstrates non-destructive, real-time botanical origin identification from hive-collected loads. New Phytologist 248(3):1584–1599, Aug 2025.",Spectral (Fluorescence),,,,,,,,,,,,,,,
Honeybee Colony Growth Period Recognition Based on Multivariate Temperature Feature Extraction and Machine Learning,Lu et al.,2025,Monitoring and Predictive Health Analytics,Colony Health & Monitoring — ML Classification of Colony Growth Periods from IoT Temperature Features,"IoT smart beehives with temperature, humidity, entrance count, sound, weight sensors. Data: 38 colonies (33 Tai'an, 5 Guilin), hourly, Sep 2019–May 2022. Extracts 17 time-domain temperature features (dimensional + dimensionless indices). PCA dimensionality reduction. 6 ML classifiers compared (supervised + unsupervised). Best: BP neural network, MAE 1.45% for 4-period growth classification (spring propagation, summer honey collection, autumn decline, winter cluster). Cross-region validation confirms generalisability. Sensors 25(13):3916, Jun 2025.",Sensor (Temperature/IoT),,,,,,,,,,,,,,,
Automated Honey Bee Subspecies Identification Using Advanced Wing Venation Analysis and Adaptive Hierarchical Clustering,Dadgostar et al.,2025,Classification,Species & Subspecies Identification — Unsupervised Wing Venation Graph Clustering for Label-Free Subspecies Discrimination,"Fully label-free pipeline: NLM denoising + CLAHE enhancement → adaptive thresholding → morphological processing → Zhang-Suen skeletonization → graph-based feature vectors (local vein geometry + global network topology). Anomaly detection module (Isolation Forest, AUC 0.78) filters outliers. Adaptive Hierarchical Clustering (AHC) on 19,097 feature vectors → 11 clusters; silhouette score 0.72; 26.1% accuracy improvement over traditional morphometrics. Data: 26,481 wing images, 13 European countries. Ecological finding: M-lineage degree centrality 3.1±0.6 vs O-lineage 2.8±0.5. Ecology and Evolution 2025.",Image,,,,,,,,,,,,,,,
Temporal Encoding Strategies for YOLO-Based Detection of Honeybee Trophallaxis Behavior in Precision Livestock System,Vdoviak and Sledevič,2025,Detection,Waggle Dance & Social Behaviour — Detection,"Markerless YOLO-based trophallaxis detection with temporal-to-RGB encodings (temporally stacked grayscale, temporally encoded motion, temporally encoded motion and average). Compares YOLOv8, YOLO11, YOLO12 across multiple input representations and model sizes. Edge deployment on Jetson AGX Orin with TensorRT optimisation.",Video,,,,,,,,,,,,,,,
A Color Moments-Based Method for Detection of Honey Bee Diseases,Micheli et al.,2024,Classification,Varroa & Disease Detection — Classification,"Color moments (mean, std, skewness per RGB channel) as compact visual features + SVM. Detects 5 diseases: Varroa, American foulbrood, European foulbrood, chalkbrood, small hive beetle. Low-cost feature extraction suitable for edge devices.",Image,https://ieeexplore.ieee.org/document/10710692/,"Since the inception of natural life, honey bees have constituted one of the most significant natural elements of pollination. It is therefore imperative to ensure the continued health of bees in order to maintain the bee population. The health of honey bees is threatened by five main diseases. This study proposes a novel, lightweight method for the detection of the five most prevalent diseases affecting honey bees. The method is based on color moments and provides sensitive feature extraction for the detection of color changes in images of bees that have been intensively coloured. The mean, variance and skewness values were calculated for each of the red, green and blue channels from the bee images, resulting in the extraction of nine features. The extracted features were then classified using a support vector machine (SVM). It was observed that the majority of the obtained results exhibited superior performance compared to deep learning solutions.",IEEE,,detection of the five most prevalent diseases affecting honey bees,USA,Turkey,United States,USA,TÃ¼rkiye,TUR,United States,USA,2018,Classical ML
A Machine Learning Approach for Queen Bee Detection Through Remote Audio Sensing to Safeguard Honeybee Colonies,Barbisan et al.,2024,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Remote Audio Queen Detection (SVM/NN),"MFCC + STFT features → SVM and NN compared. Remote audio sensing for continuous, non-invasive queen presence monitoring. Extends Barbisan 2023 framework to remote deployment.",Audio,https://ieeexplore.ieee.org/document/10557729/,"Honeybees play a pivotal role in maintaining global ecosystems and agricultural productivity through their indispensable contribution to crop pollination. However, the alarming rise in honeybee mortality, attributed to various stress factors including climate change, has highlighted the urgency of implementing effective monitoring strategies. Remote sensing of beehives emerges as a promising solution, with a focus on understanding and mitigating the impacts of these stressors. Differently from other approaches proposed in the literature, this study specifically explores the potential of lightweight machine learning models and the extraction of compressed feature to enable future deployment on microcontroller devices. The experimentation involves the application of support vector machines and neural network classifiers, considering the influence of variable audio chunk durations, the utilization of different hyperparameters and combining the audio recorded in several hives and available in different datasets.",IEEE,,Queen bee identification,California (focused on european honeybees there),Italy,United States,USA,Italy,ITA,United States,USA,2024,Hybrid / Multi-Model
A Machine Learning-Based Multiclass Classification Model for Bee Colony Anomaly Identification Using an IoT-Based Audio Monitoring System with Edge Computing,Chen et al.,2024,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Monitoring and Predictive Health Analytics,"Audio feature extraction (MFCC, Mel spectrogram) + KNN classifier on edge computing device. Multi-class: queenless, virus-infected, pesticide-contaminated, normal. IoT sensor network with edge inference for low-latency monitoring.",Audio,https://www.sciencedirect.com/science/article/abs/pii/S0957417424017652,"pproximately one-third of human food is derived from flowering plants, and 80% of those plants require honeybees for pollination. However, climate change is affecting bees as well as the beekeeping industry. Having continuous information on the condition of honey bee colonies would be helpful in studying new diseases such as colony collapse disorder, as well as in developing novel beekeeping tools to improve the health management of bee colonies. In this study, an audio monitoring system is established based on Internet of Thing (IoT) technology to record the sounds produced by bees. A colony status classification model coupled with a machine learning algorithm is used to analyze the sound data of bee colonies under various treatments to classify the colony conditions, such as queenless, virus-infected, and pesticide-contaminated. With an edge computing framework, the classification is done by the monitoring system, which greatly reduces data transmission delay and cloud computing burden. The field test results show that the accuracy and F1-score for the classification model for the beehive under various treatments reach 98.8% and 0.98, respectively. The proposed IoT-based audio monitoring system for beehives can assist beekeepers and users in managing bee colonies more effectively by providing automatic, accurate, and real-time monitoring information regarding the current colony conditions.",ScienceDirect,,"to classify the colony conditions, such as queenless, virus-infected, and pesticide-contaminated.",-,Taiwan,,,"Taiwan, Province of China",TWN,"Taiwan, Province of China",TWN,2024,Classical ML
Accurate Identification of Native Asian Honey Bee Populations by Population Genomics and Deep Learning,Liu et al.,2024,Classification,Species & Subspecies Classification — Genomic Population Deep Learning Classification,TraceNet (custom CNN-based model for population genomics) applied to SNP (single nucleotide polymorphism) genomic data. Identifies and distinguishes Jilong (Xizang) Apis cerana populations from other geographic populations. Novel: uses genomic data not images.,Tabular (Genomic Dataset),https://www.mdpi.com/2075-4450/16/8/788,"The Jilong Valley, situated in Rikaze, Xizang, China, is characterized by its complex topography and variable climatic conditions, providing a suitable habitat for Apis cerana Fabricius, 1793. To facilitate the conservation of germplasm resources and maintain genetic diversity, it is imperative to elucidate the population structure and lineage differentiation of A. cerana within this ecologically distinct region. In this study, we collected A. cerana specimens from 12 geographically disparate locations across various altitudinal gradients within the Jilong Valley, and also integrated publicly available sequencing data of A. cerana from various regions across mainland Asia. In total, our analysis encompassed sequencing data from 296 individuals. Population structure analyses based on SNP data revealed that A. cerana in Jilong represents a genetically distinct population that differs markedly from other regional A. cerana populations in terms of genetic lineage, although its subspecies identity remains to be confirmed. Through screening based on FST values, we identified SNP loci that contribute significantly to distinguishing between Jilong and non-Jilong A. cerana. Using these loci, the convolutional neural network model TraceNet was trained, which demonstrated specific recognition capabilities for Jilong versus non-Jilong A. cerana. This further confirmed the universality and efficiency of TraceNet in identifying honey bee lineages. These findings contribute valuable insights for the identification and conservation of A. cerana germplasm resources in specific geographical regions.",MDPI,,identify and distinguish Jilong bees from other geographic populations based on their genetic patterns.,china,China,China,CHN,China,CHN,China,CHN,2025,Domain Specific / Specialized
Artificial Intelligence-Driven Tool for Spectral Analysis — Identifying Pesticide Contamination in Bees from Reflectance Profiling,Bernardes et al.,2024,Classification,Varroa & Disease Detection — Classification,"Spectral reflectance profiling (cuticle surface) + PCA (dimensionality reduction) + LDA, PLS-DA, SVM (linear/radial), RF compared. Distinguishes pesticide-exposed from control bees without dissection.",Other (Spectral reflection),https://www.sciencedirect.com/science/article/pii/S0304389424030048,"Pesticide poisoning constantly threatens bees as they forage for resources in pesticide-treated crops. This poisoning requires thorough investigation to identify its causes, underscoring the importance of reliable pesticide detection methods for bee monitoring. Infrared spectroscopy provides reflectance data across hundreds of spectral bands (hyperspectral reflectance), presumably enabling the efficient classification of pesticide contamination in bee carcasses using artificial intelligence (AI) models, such as machine learning. In this study, bee contamination by commercial formulations of three insecticides—dimethoate (organophosphate), fipronil (phenylpyrazole), and imidacloprid (neonicotinoid)—as well as glyphosate, the most widely used herbicide globally, was detected using machine learning models. These models classified the hyperspectral reflectance profiles of the body surfaces of contaminated bees. The best-performing model, the linear discriminant analysis, achieved 98 % accuracy in discriminating contamination across species Apis mellifera, Melipona mondury, and Partamona helleri, with prediction speeds of 0.27 s. Our pioneering study introduced an effective method for discerning multiple classes of bees contaminated with pesticides using hyperspectral reflectance. An AI-driven spectral data analysis tool (https://github.com/bernardesrodrigoc/MACSS) was developed for the purpose of identifying and characterizing new samples through their spectral characteristics. This platform aids efforts to monitor and conserve bee populations and holds potential importance in environmental monitoring, agricultural research, and industrial quality control.",ScienceDirect,,classify and detect pesticide contamination in bees,Brazil ( Lab setting),Brazil,Brazil,BRA,Brazil,BRA,Brazil,BRA,2024,Classical ML
Autonomous Tracking of Honey Bee Behaviors Over Long-Term Periods with Cooperating Robots (AROBA),Ulrich et al.,2024,Tracking & Pose Estimation,Individual Tracking & Re-identification — Autonomous Robotic Long-Term Queen and Colony Behavior Tracking,"AROBA system: two autonomous camera-robot heads + CNN (queen localisation, fiducial marker detection, court bee detection, brood cell classification, comb content mapping). 30-day continuous 24/7 operation; >100 million images. 23 Key Behavioral Metrics. Science Robotics 2024.",Multimodal (Image/Video),https://www.science.org/doi/10.1126/scirobotics.adn6848,"Digital and mechatronic methods, paired with artificial intelligence and machine learning, are transformative technologies in behavioral science and biology. The central element of the most important pollinator species—honey bees—is the colony’s queen. Because honey bee self-regulation is complex and studying queens in their natural colony context is difficult, the behavioral strategies of these organisms have not been widely studied. We created an autonomous robotic observation and behavioral analysis system aimed at continuous observation of the queen and her interactions with worker bees and comb cells, generating behavioral datasets of exceptional length and quality. Key behavioral metrics of the queen and her social embedding within the colony were gathered using our robotic system. Data were collected continuously for 24 hours a day over a period of 30 days, demonstrating our system’s capability to extract key behavioral metrics at microscopic, mesoscopic, and macroscopic system levels. Additionally, interactions among the queen, worker bees, and brood were observed and quantified. Long-term continuous observations performed by the robot yielded large amounts of high-definition video data that are beyond the observation capabilities of humans or stationary cameras. Our robotic system can enable a deeper understanding of the innermost mechanisms of honey bees’ swarm-intelligent self-regulation. Moreover, it offers the possibility to study other social insect colonies, biocoenoses, and ecosystems in an automated manner. Social insects are keystone species in all terrestrial ecosystems; thus, developing a better understanding of their behaviors will be invaluable for the protection and even the restoration of our fragile ecosystems globally.",ScieneRobotics,,"detecting bee behaviors such as egg-laying, tracking the queen, and identifying worker interactions. to enable a deeper understanding of the innermost mechanisms of honey bees’ swarm-intelligent self-regulation.",-,Austria,,,Austria,AUT,Austria,AUT,2023,CNN & Variants
Bee Detection in Bee Hives Using Selective Features from Acoustic Data,Rustam et al.,2024,Classification,Colony Health & Acoustic Monitoring — Classification,"PCA (feature selection: spectral centroid, ZCR, MFCC, Chromagram, CQT) + KNN, LR, SVC, RF classifiers compared. Binary: bee vs no-bee sounds. Feature importance analysis via selective feature evaluation.",Audio,https://link.springer.com/article/10.1007/s11042-023-15192-5,"Honeybees, a key pollinator of the world’s most cultivated crops, are experiencing colony collapses due to a variety of factors. The existence of honeybees and queens is critical to the sociality of a colony, and the presence of bees in agricultural settings is vital to the ecological balance. Moreover, beehives without a queen may lead to the decline of an entire colony therefore finding them through effective and an accurate approach is a critical task. In this scenario, we analyzed acoustic/sound data of various classes (i.e. Bee, NoBee, and NoQueen) from beehive colonies. This study examines five distinct features including spectral centroid, zero-crossing rate, Mel-frequency cepstral coefficients (MFCC), chromagram, and constant Q-transform characteristics for their suitability in detecting bees using the acoustic data. In addition, selective features using principal component analysis (PCA), Chi-square analysis (Chi2), and singular value decomposition (SVD) are used. Moreover, the study proposes hybrid features where selective PCA, Chi2, and SVD characteristics are integrated to create a suitable feature set. Experimental results exhibit the suitability of the hybrid feature set which outperformed individual features for “Bee”, “NoBee” and “NoQueen” classes prediction. Cross-validation and T-test results also confirm the superior performance of hybrid MFCC features. The results indicate that RF and KNN show better performance than other machine learning models with maximum accuracy scores of 0.82 and 0.83, respectively.",SpringerNature,,bee detection using a sound dataset,-,Brazil,,,Brazil,BRA,Brazil,BRA,2022,Classical ML
