Title,Authors,Publication year,Data,Collection Year,Approach,Approach group,Abstract, keyworsd,Subcategories,Category (section), demographic,Research demographic
Automatic behaviour analysis system for honeybees using computer vision,Tu et al.,2016,Video,2014,Background subtraction + statistical analysis (linear regression),Classical ML,"We present a fully automatic online video system, which is able to detect the behaviour of honeybees at
the beehive entrance. Our monitoring system focuses on observing the honeybees as naturally as possible
(i.e. without disturbing the honeybees). It is based on the Raspberry Pi that is a low-cost embedded computer with very limited computational resources as compared to an ordinary PC. The system succeeds in
counting honeybees, identifying their position and measuring their in-and-out activity. Our algorithm
uses background subtraction method to segment the images. After the segmentation stage, the methods
are primarily based on statistical analysis and inference. The regression statistics (i.e. R2
) of the comparisons of system predictions and manual counts are 0.987 for counting honeybees, and 0.953 and 0.888 for
measuring in-activity and out-activity, respectively. The experimental results demonstrate that this system can be used as a tool to detect the behaviour of honeybees and assess their state in the beehive
entrance. Besides, the result of the computation time show that the Raspberry Pi is a viable solution in
such real-time video processing system",,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Forager Activity,Denmark,Denmark
Pollen bearing honey bee detection in hive entrance video recorded by remote embedded system for pollination monitoring,Babic et al.,2016,Video,2014,Background subtraction + colour segmentation + Nearest Mean Classifier,Domain Specific / Specialized,"Honey bees have crucial role in pollination across the world. This paper presents a simple, non-invasive, system for pollen bearing
honey bee detection in surveillance video obtained at the entrance of a hive. The proposed system can be used as a part of a more
complex system for tracking and counting of honey bees with remote pollination monitoring as a final goal. The proposed method is
executed in real time on embedded systems co-located with a hive. Background subtraction, color segmentation and morphology
methods are used for segmentation of honey bees. Classification in two classes, pollen bearing honey bees and honey bees that do
not have pollen load, is performed using nearest mean classifier, with a simple descriptor consisting of color variance and
eccentricity features. On in-house data set we achieved correct classification rate of 88.7% with 50 training images per class. We
show that the obtained classification results are not far behind from the results of state-of-the-art image classification methods. That
favors the proposed method, particularly having in mind that real time video transmission to remote high performance computing
workstation is still an issue, and transfer of obtained parameters of pollination process is much easier.",,Detection,Pollen & Foraging Monitoring — Pollen Detection,Bosnia and Herzegovina,Bosnia and Herzegovina
Image Processing Algorithms of Tracking and Movement Pattern Analysis for Honeybees in a Beehive,Tsai et al.,2016,Video,2016,Hough Circle Transform + HOG + PCA + SVM (tag recognition) + voting algorithm (trajectory),Classical ML,"enormous economic and agricultural loss. Monitoring honeybee behavior inside beehive can be an effective method to
verify normal honeybee behavior. Observing honeybee behavior by human labor is time consuming. This has inspired us
to propose an image system to take over the human labor with a better efficiency. Our imaging system uses 3 industrial
cameras to acquire videos inside beehive with infrared LED light panels as the illumination. In order to capture individual
honeybee information in beehive, we label a water-proof text tag on each honeybee as its ID. After labeling, Hough circle
transform technique is applied to detect tag position and to segment out the tag image. In order to extract the tag character
feature, tag images are transformed into feature vectors by histogram of oriented gradient (HOG) algorithm. Extracting
feature by HOG leads to feature dimension increase which slows down the computational speed. Hence, principle
component analysis (PCA) is applied to reduce the feature dimensionality first. Then, support vector machine (SVM)
algorithm is applied to train and predict the tag text so the honey bee can be identified. After retrieving the position and
text of the tag, position between two frames and real position in Euclidean distance are calculated to generate a trajectory.
In order to determine the actual tag ID in trajectory, a voting algorithm is used to filter out misclassified ID. A trajectory
can be segmented to shorter sub-trajectories, according to variance and cumulative angle, which are classified into 5
different movement patterns. These movement patterns approximately represent forward movement, clockwise movement,
counter-clockwise movement, loitering, and being stationary. Individual honeybee trajectory information and movement
pattern sequence can be used in honeybee behavior analysis for different age and different role of labor. Experimental
results are demonstrated to show the feasibility of this monitoring and tracking system for honeybee behavior analysis.",,Tracking & Pose Estimation,Hive Entrance & Traffic Monitoring — In-hive Division of Labour,Taiwan,Taiwan
Automated assay and differential model of western honey bee (Apis mellifera) autogrooming using digital image processing,Giuffre et al.,2017,Video,2016,Color correction (polynomial regression) + HSV thresholding + pixel counting + exponential ODE model fitting (lsqnonlin). No learned classifier — Classical CV + Mathematical Modeling.,Domain Specific / Specialized,"In animals, self-grooming is an important component of their overall hygiene because it reduces the risk of disease and parasites. The European honey bee (Apis mellifera) exhibits hygienic behavior, which refers to the ability of the members of a colony to remove diseased or dead brood from the hive. Individual grooming behavior, however, is when a bee grooms itself to remove parasites. While both behaviors are critical for the mitigation of disease, hygienic behavior is overwhelmingly more studied because, unlike grooming behavior, it has a simple bioassay to measure its phenotype. Here, we develop a novel bioassay to expedite data collection of grooming behavior by testing different honey bee genotypes (stocks). Individual worker bees from different commercial stocks were coated in baking flour, placed in an observation arena, and digitally recorded to automatically measure grooming rates. The videos were analyzed in MATLAB, and an exponential function was fit to the pixel data to calculate individual grooming rates. While bees from the different commercial stocks were not significantly different in their grooming rates, the automation of grooming measurements may facilitate future research and stock selection for this important mechanism of social immunity.",,Monitoring and Predictive Health Analytics,Waggle Dance & Social Behaviour — Autogrooming Rate Quantification,USA,USA
Honey Bee Dance Modeling in Real-time using Machine Learning,Saghafi & Tsokos,2017,time-series (motion data),2008,"Statistical features (moving average of sin/cos(θ), diff, mean, max) + Logistic Regression / ANN / SVM (compared); best LR accuracy = 97.1% pooled.",Classical ML,"The waggle dance that honeybees perform is an astonishing way of communicating the location of food
source. After over 60 years of its discovery, researchers still use manual labeling by watching hours of dance
videos to detect different transitions between dance components thus extracting information regarding the
distance and direction to the food source. We propose an automated process to monitor and segment different
components of honeybee waggle dance. The process is highly accurate, runs in real-time, and can use shared
information between multiple dances",,Classification,Waggle Dance & Social Behaviour — Dance Component Segmentation,USA,USA
Automatic detection and decoding of honey bee waggle dances,Wario et al.,2017,Video,2015,Fourier analysis of pixel intensity (waggle-band detection) + hierarchical agglomerative clustering (HAC) + 3D CNN (false-positive filter) + PCA (orientation extraction) + RANSAC (dance clustering).,Hybrid / Multi-Model,"The waggle dance is one of the most popular examples of animal communication. Forager
bees direct their nestmates to profitable resources via a complex motor display. Essentially,
the dance encodes the polar coordinates to the resource in the field. Unemployed foragers
follow the dancer’s movements and then search for the advertised spots in the field.
Throughout the last decades, biologists have employed different techniques to measure key
characteristics of the waggle dance and decode the information it conveys. Early techniques
involved the use of protractors and stopwatches to measure the dance orientation and duration directly from the observation hive. Recent approaches employ digital video recordings
and manual measurements on screen. However, manual approaches are very time-consuming. Most studies, therefore, regard only small numbers of animals in short periods of
time. We have developed a system capable of automatically detecting, decoding and mapping communication dances in real-time. In this paper, we describe our recording setup, the
image processing steps performed for dance detection and decoding and an algorithm to
map dances to the field. The proposed system performs with a detection accuracy of
90.07%. The decoded waggle orientation has an average error of -2.92˚ (± 7.37˚), well within
the range of human error. To evaluate and exemplify the system’s performance, a group of
bees was trained to an artificial feeder, and all dances in the colony were automatically
detected, decoded and mapped. The system presented here is the first of this kind made
publicly available, including source code and hardware specifications. We hope this will foster quantitative analyses of the honey bee waggle dance.",,Classification,Waggle Dance & Social Behaviour — Classification,Germany,Germany
Automated computer-based detection of encounter behaviours in groups of honeybees,Blut et al.,2017,Video,2016,"2D barcode (AprilTags) tracking → per-frame kinematic features (position, speed, orientation, distance to nestmate via JAABADetect) + Boosted Decision Trees (AdaBoost via JAABA). 93% detection rate on test set.",Domain Specific / Specialized,"Honeybees form societies in which thousands of members integrate their behaviours to act as a single functional unit. We have little knowledge on how the collaborative features are regulated by workers’ activities because we lack methods that enable collection of simultaneous and continuous behavioural information for each worker bee. In this study, we introduce the Bee Behavioral Annotation System (BBAS), which enables the automated detection of bees’ behaviours in small observation hives. Continuous information on position and orientation were obtained by marking worker bees with 2D barcodes in a small observation hive. We computed behavioural and social features from the tracking information to train a behaviour classifier for encounter behaviours (interaction of workers via antennation) using a machine learning-based system. The classifier correctly detected 93% of the encounter behaviours in a group of bees, whereas 13% of the falsely classified behaviours were unrelated to encounter behaviours. The possibility of building accurate classifiers for automatically annotating behaviours may allow for the examination of individual behaviours of worker bees in the social environments of small observation hives. We envisage that BBAS will be a powerful tool for detecting the effects of experimental manipulation of social attributes and sub-lethal effects of pesticides on behaviour.",machine learning method for honeybee,Classification,Waggle Dance & Social Behaviour — Encounter Behaviour Classification,Germany,Germany
A Deep Learning Approach to Recognizing Bees in Video Analysis of Bee Traffic,Tiwari,2018,Video,2018,"CNN (custom architectures) + MLP (4 variants, hyperparameter tuning). Comparison study of CNNs vs MLPs on a labelled BEE/NO-BEE dataset.",Hybrid / Multi-Model,"This thesis presents a Deep Learning (DL) approach to recognize bees in videos for the analysis of bee traffic in real time. Bee traffic will further help in analysis of forager traffic to monitor bee colony behavior. Various Convolutional Neural Networks (ConvNet) and Multi Layer Perceptron (MLP) models have been designed and trained to experiment, compare and analyze different factors that can affect the performance of the model. The best model then is integrated with a motion detection algorithm that is made to work on a Raspberry Pi 3 computer in collaboration with Electronic Beehive Monitoring System. Modern computer vision tasks are dominated by ConvNets due to their superior performance. Many aspects of ConvNets have been examined in various publications but literature about the analysis and construction of neural network architectures are rare. This work is an attempt to fill this gap and closely analyze and compare the difference in performance of MLPs and ConvNets.",honey bee artificial intelligence,Detection,Hive Entrance & Traffic Monitoring — Colony Strength via Bee Counting,usa,usa
A Model for Pollen Measurement Using Video Monitoring of Honey Bees,"Yang, Collins & Beckerleg",2018,Video,2018,CNN (POLLEN / NO-POLLEN frame classifier) + Kalman Filter (trajectory linking across frames to prevent double-counts).,CNN & Variants,"This paper introduces a novel approach using video monitoring to automatically count pollen sacs on honey bees returning to a beehive. This allows beekeepers to have an estimate of the food storage situation in a beehive without having to visit and open the hive. Pollen sac detection is a challenge because the full sacs are very small and they often have a similar colour to the bee’s body. The first step is to detect bees on the video and track the bees for pollen counting. The bees are detected using their colour and motion, and tracked using a Kalman filter and the Hough transform. The second step is to detect pollen sacs on each individual detected bee image. On each individual bee image, a bee blob is created and image moments are used to remove an elliptical shape from the blob, which includes the bee’s main body parts (head, abdomen and tail). The pollen sacs are then detected in the remainder of the blob using colour thresholding. The outcome includes pollen blobs and other blobs that are similar to pollen blobs (non-pollen blobs). The pollen sacs have two features that can be used for object discrimination. The receiver operating characteristic is used to calculate the threshold for pollen discrimination using these two features. Finally, the bee tracking model is combined with the pollen sac detection to count the number of bees carrying pollen on the monitoring video.","From Survey ""Machine Learning and Computer Vision Techniques in Continuous
Beehive Monitoring Applications: A Survey""",Monitoring and Predictive Health Analytics,Pollen & Foraging Monitoring — Monitoring and Predictive Health Analytics,-,New Zealand
A Preliminary Study of Image Analysis for Parasite Detection on Honey Bees,Schurischuster et al.,2018,Image,2018,"Handcrafted descriptors (HOG, colour histograms, LBP) + Naive Bayes / SVM / Random Forest (binary: MITE vs CLEAN). Proof-of-concept, no deep learning.",Classical ML,"Varroa destructor is a parasite harming bee colonies. As the worldwide bee population is in danger, beekeepers as well as researchers are looking for methods to monitor the health of bee hives. In this context, we present a preliminary study to detect parasites on bee videos by means of image analysis and machine learning techniques. For this purpose, each video frame is analyzed individually to extract bee image patches, which are then processed to compute image descriptors and finally classified into mite and no mite bees. The experimental results demonstrated the adequacy of the proposed method, which will be a perfect stepping stone for a further bee monitoring system.",honeybees and artificial intelligence,Detection,Varroa & Disease Detection — Visual Mite Carrier Screening,-,Austria
Automatic Localization and Decoding of Honeybee Markers Using Deep Convolutional Neural Networks,"Wild, Sixt & Landgraf",2018,Video,20152016,Two-stage CNN: (1) lightweight fully convolutional localiser on downsampled frames → heatmaps; (2) deeper decoder CNN on high-res crops → 12-bit marker probability. (BeesBook pipeline),CNN & Variants,"The honeybee is a fascinating model animal to investigate how collective behavior emerges from (inter-)actions of thousands of individuals. Bees may acquire unique memories throughout their lives. These experiences a_x001d_ect social interactions even over large time frames. Tracking and identifying all bees in the colony over their lifetimes therefore may likely shed light on the interplay of individual di_x001d_erences and colony behavior. This paper proposes a software pipeline based on two deep convolutional neural networks for the localization and decoding of custom binary markers that honeybees carry from their _x001b_rst to the last day in their life. We show that this approach outperforms similar systems proposed in recent literature. By opening this software for the public, we hope that the resulting datasets will help advancing the understanding of honeybee collective intelligence.",neural network honeybees,Tracking & Pose Estimation,Individual Tracking & Re-identification — Barcode Marker Localization & Decoding,-,Germany
Bee Hive Traffic Monitoring by Tracking Bee Flight Paths,Magnier et al.,2018,Video,2018,Background subtraction (median image diff) + blue-shadow removal + variance + Canny edge detection + Ellipse fitting (detection) + Concordance-based nearest-ellipse tracker + path-endpoint counting (Classical CV). No learned model.,Classical CV,"The number of pollinator insect is in decline in Europe and this raises concerns about the supply of pollination
services to agriculture. Thus, countries with a low number of honeybees are more vulnerable to negative shifts
in wild pollinator communities. Consequently, the demand for honeybee pollination is higher than ever but
beekeepers are also very concerned by the strength of their colonies. To measure this factor, a very important
indicator to take into account is the flight activity at the beehive entrance. A quantitative measure of the
activity can be related to the environment and does not only benefit beekeepers but scientists too. In this paper,
we present a complete method of measuring this activity. It is represented by the number of bees going in
or out of the beehive. The developed method is divided in three parts: the first one consists in bee detection
thanks to several image transformations using background subtraction and ellipse approximations. The second
one is about tracking bees, by assuming their future positions in order to determine whether they are going
in or getting out of the beehive. The last one consists in counting the bees. Finally, the experimental results
demonstrate that our system created with limited resources can be used to precisely measure the flight activity
at the beehive entrance.",,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Low-Resource Entrance Traffic Counting,-,Portugal
Detection of Pollen Bearing Honey Bees in Hive Entrance Images,"Stojnić, Risojević & Pilipović",2018,Image,2018,Two-stage segmentation (background isolation + colour descriptor) + SIFT feature extraction + VLAD encoding + SVM classifier.,Classical ML,"Automatic detection of pollen bearing honey bees can provide information important both for pollination monitoring and for assessing health and strength of a beehive. In this paper we analyze some of the methods for detection of pollen bearing honey bees in images obtained at hive entrance. The proposed approach is divided into two parts. In the first part we segment honey bees from images. To this end we analyze two segmentation methods based on color descriptors. Then in the second part we use these segmented regions to classify the bees into two classes with or without pollen. Classification is conducted using SVMs trained on few variations of VLAD-encoded SIFT descriptors. On a dataset of images acquired at the hive entrance, we obtain 0.7971 IoU score for segmentation, and 0.9150 AUC score for classification.",honeybees and artificial intelligence,Detection,Pollen & Foraging Monitoring — Pollen-Bearer Detection at Entrance,-,Bosnia and Herzegovina
Recognition of Pollen-Bearing Bees from Video Using Convolutional Neural Network,Rodriguez et al.,2018,Video,2017,"Baseline: KNN, Naive Bayes, linear + RBF SVM. Shallow CNNs: 1-layer and 2-layer. Deep CNNs: VGG16, VGG19, ResNet50. Simple shallow CNNs outperformed pre-trained deep models on this dataset.",Hybrid / Multi-Model,"In this paper, the recognition of pollen bearing honey bees from videos of the entrance of the hive is presented. This computer vision task is a key component for the automatic monitoring of honeybees in order to obtain large scale data of their foraging behavior and task specialization. Several approaches are considered for this task, including baseline classifiers, shallow Convolutional Neural Networks, and deeper networks from the literature. The experimental comparison is based on a new dataset of images of honeybees that was manually annotated for the presence of pollen. The proposed approach, based on Convolutional Neural Networks is shown to outperform the other approaches in terms of accuracy. Detailed analysis of the results and the influence of the architectural parameters, such as the impact of dedicated color based data augmentation, provide insights into how to apply the approach to the target application.",,Classification,Pollen & Foraging Monitoring — Pollen-Bearer Recognition (CNN Benchmark),USA,USA
RenderGAN: Generating Realistic Labeled Data,"Sixt, Wild & Landgraf",2018,Image,2018,RenderGAN: 3D parametric barcode model (marker geometry + bee body) combined with GAN image generation. CNNs trained on synthetic data outperform those trained on manual annotation baselines.,CNN & Variants,"Deep Convolutional Neuronal Networks (DCNNs) are showing remarkable performance
on many computer vision tasks. Due to their large parameter space, they require many
labeled samples when trained in a supervised setting. The costs of annotating data
manually can render the use of DCNNs infeasible. We present a novel framework called
RenderGAN that can generate large amounts of realistic, labeled images by combining
a 3D model and the Generative Adversarial Network framework. In our approach,
image augmentations (e.g., lighting, background, and detail) are learned from unlabeled
data such that the generated images are strikingly realistic while preserving the labels
known from the 3D model. We apply the RenderGAN framework to generate images
of barcode-like markers that are attached to honeybees. Training a DCNN on data
generated by the RenderGAN yields considerably better performance than training it on
various baselines",honey bee artificial intelligence,Tracking & Pose Estimation,Individual Tracking & Re-identification — Tracking & Pose Estimation,-,Germany
The Application of Convolutional Neural Network for Pollen Bearing Bee Classification,Sledevič,2018,Image,2018,Hough Transform (bee detection) + background subtraction motion filter + colour segmentation → 86×86 px patches → CNN (MATLAB Neural Network Toolbox) vs SVM (VLAD+SIFT baseline). CNN: 91.5% accuracy.,CNN & Variants,"The article presents the classification of images with pollen bearing bees using convolutional neural network (CNN). The aim is to find out a sufficient configurations of CNN required for future implementation on low-cost FPGA. A new dataset with bee images was collected on the entrances to several beehives. The classifications rate was investigated configuring the CNN to 1-3 hidden layers with up to 15 filters in a layer and 15 × 15 down to 3 × 3 filter sizes. The CNN configured to three hidden layers 7-7, 5-5, 3-3 was selected for future application as a trade off between accuracy 94 % and number of required arithmetic operations.",cnn-based individual identification and tracking bee,Classification,Pollen & Foraging Monitoring — Pollen-Bearer Classification (CNN vs SVM),-,Lithuania
