Title,Authors,Year,Subcategory (ai task),Category (section),Approach (ai),Data modality,Url,Abstract,Venue name,Search keyword,Research problem,Bee demographic,Research demographic,Bee_country,Bee_iso,Research_country,Research_iso,Country,Iso_code,Collection time,Approach group
Deep Learning-Based Classification Models for Beehive Monitoring,Berkaya et al.,2021,Classification,"Varroa & Disease Detection — Multi-Threat Image Classification (Varroa, Ants, Beetles, Robbery)","Transfer learning with 7 pre-trained DNNs (AlexNet, DenseNet-201, GoogLeNet, ResNet-101/18, VGG-16/19) + SVM on deep+shallow features. Three benchmark datasets, 19,393 images. Best accuracy: 99.07%.",Image,https://pdf.sciencedirectassets.com/273474/1-s2.0-S1574954121X00040/1-s2.0-S1574954121001448/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEE4aCXVzLWVhc3QtMSJHMEUCIQDpLuBqeh7%2BolHKXpuRdY9iLlFQ3KilIsdtzfWRO7Tb8AIgRGXNhZRe%2FKvQVagt%2BchFzwyGvkAy6Eb6ui9NY%2FJKadsqswUIFhAFGgwwNTkwMDM1NDY4NjUiDBF9oV%2FJ6kPjtk%2BR6yqQBR6FC4Qpo5vH8896gGyAa%2Fr%2FvWAftkqutl9jlh4ZmMRa5rKeqHk5wAEhDKuD6RsICmDmMSU6QulcV49jp2XSXb5C9XWRnSTAAkvtoSTOHycNNwuyHZlyuDmsy6%2FNsDPn%2FrkFRtWXU2UY2LMhDM23npBroXLvTEvhQJ7f0ypwg0QKV5cKvhYRaVZ5PMRTfPogZxCL14VMhGkniYOXdbKaqg0THnefBYtPV867Ms0wmKU3jbkE2mwTJDl0bKE3sJ8g3w9mTp5zWMzZHVOyD1Q%2FaPyIeYMaXhDOSZCkeGJBaVU4Ot7VIYllEI0U6OkEeyMaN7PstzaqWpysfmdgmviIM9zcrFX8htajWJxTiOqzuSOf5f%2Fl033%2BsbECRGeBgo03Q8HcNnPMBCrnng2zlxs9vRP4kns%2BbWov92ENQjMfCoK6nemgunbXI%2FCjm%2FmkuMmF3V50PH4cxLbbRNMJKL8kDMP9cD3eYpHnMLjU7U%2BooXoLXy9gkdm2zH8m8%2F1QmbnHH6BQ2ogrq%2FjFzODM%2FwDZ97jyBiMid1OGEunKhKJd06C9mnlDNpsxI2PdLeOdvo3JI6FtcKAvyYFJVinG4nwjslKI61J%2BtqecCtfSpzaf2bjZq9sHbqs1vBkto6jrfxB4o7ndV0kD2XjiomnJqlhGtr0vUKYStFkgYKQITkG422cr%2Bwx7HRp%2BGKxL7YWF7DxWH4lHQK4peed8i3Dzd97h7yK%2FoR5AoR1xTtbmb3XC1S62dObbUvpc2rNizdF5V12yhA%2F%2FIh23yoXEtSLuUMos92U4KFdEWFALY7wAW7u1FeSUVOTveTEsrriKNO8FYOzB65S2nu14XB6zHubSV8Rb1jcZZaB0wBeb0QwcfeQL8tZIMIjotc0GOrEBN0pot6m4v%2BL3iQRtxNIlScvGWCPo%2FnL18D%2F0cck5vh8VSyhyZ9vFHi9BRODfCCnEytbmYdx8R3swUrFj2FXHqSkS0T0zu8BJbxXS4kLpjcTM1lyS9AkJNr9daHECZkE2AP6oB8vE9k4LZka5jl650jqklJ7DiIfORf7Qxt0vvTYD7xTU7njQ6ClfuEE0EZdMRnsuBL0UQivClxynsAkHrpiyYxDFTQBm%2FM39e3Dhpata&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260308T135812Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYRTVCME6N%2F20260308%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=f3b8fc54a9c4d82a0f06014542574053c5af84138dfeaa43b04ee1e5d84c09b3&hash=94385486d1a564bfa0597e7de3b4eac8c807fd65bbe582499c25c9a8772f5b56&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1574954121001448&tid=spdf-f14b7413-cfb3-4513-9edf-e1a0138d9487&sid=944169d380b1c746748a7db85b5f8d95f69dgxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=06005e065e50540657&rr=9d925a779e2d9847&cc=de,"Honey bees are not only the fundamental producers of honey but also the leading pollinators in nature. While
honey bees play such a vital role in the ecosystem, they also face a variety of threats, including parasites, ants,
hive beetles, and hive robberies, some of which could even lead to the collapse of colonies. Therefore, early and
accurate detection of abnormalities at a beehive is crucial to take appropriate countermeasures promptly. In this
paper, deep learning-based image classification models are proposed for beehive monitoring. The proposed
models particularly classify honey bee images captured at beehives and recognize different conditions, such as
healthy bees, pollen-bearing bees, and certain abnormalities, such as Varroa parasites, ant problems, hive robberies, and small hive beetles. The models utilize transfer learning with pre-trained deep neural networks (DNNs)
and also a support vector machine classifier with deep features, shallow features, and both deep and shallow
features extracted from these DNNs. Three benchmark datasets, consisting of a total of 19,393 honey bee images
for different conditions, were used to train and evaluate the models. The results of the extensive experimental
work revealed that the proposed models can recognize different conditions as well as abnormalities with an
accuracy of up to 99.07% and stand out as good candidates for smart beekeeping and beehive monitoring.",Elsevier,,"Research problem:
The paper aims to improve beehive monitoring, because honey bees face threats such as Varroa parasites, ants, hive beetles, and robberies, and traditional monitoring methods are described as time-consuming and not very effective. The authors therefore propose models that can recognize different bee conditions and abnormalities quickly and accurately from images.","USA (beeImage, varoadataset)",Turkey,United States,USA,TÃ¼rkiye,TUR,United States,USA,2020,Hybrid / Multi-Model
Dual-Fluorescence Imaging and Automated Trophallaxis Detection for Studying Multi-Nutrient Regulation in Superorganisms,Baltiansky et al.,2021,Detection,Waggle Dance & Social Behaviour — Automated Trophallaxis Event Detection,Dual-colour fluorescence setup (donor/recipient food labelling) → CNN (frame-level flagging of mouth-part liquid transfer events). Converts labour-intensive manual trophallaxis scoring into automated image task.,Image,,"1.  Much like a single organism, colonies of social insects regulate their collective nutrition towards a specific intake of nutrients. Yet, the mechanisms behind this colony-level regulation are not fully understood. Although foraging behaviour in social insects has been studied extensively, not much is known on its relation with feeding processes that occur within the nest. In the nest, food is commonly transferred between individuals in numerous oral feeding interactions (trophallaxis). Studies on the properties of these trophallactic networks have so far been limited by: (a) the difficulty to non-intrusively measure food inside individual ants, let alone its nutritional composition, and (b) the meticulous manual labour involved in detecting trophallactic events.2.  Our dual-fluorescence imaging set-up is designed to track two food sources, each labelled with a different fluorophore, as they are disseminated throughout a freely behaving colony of individually tagged ants. Additionally, our image-based deep learning algorithm for automatic detection of ant trophallaxis events efficiently yields a detailed record of all food-transfer interactions.3.  Using a series of calibration experiments, we demonstrate the reliability of our measurements. We then exemplify the capabilities of our new method by tracking food dissemination in a colony of Camponotus sanctus ants supplied with two nutritionally distinct food sources. We follow the amount of each food type in the crop of each ant in the colony. Our data reveal the path in nutrient space that the colony took to reach its final nutrient intake, the contributions of the different forager ants to this path and the dynamic nutritional states of all ants in the colony. We further demonstrate the potential applicability of dual-fluorescence food imaging to other insect species.4.  Our system provides access to data that were previously unavailable and is crucial for a complete description of nutrient regulation by social insects. More broadly, the ability to simultaneously and efficiently track two material flows in a behaving colony provides new opportunities for tackling many open and emerging ques-tions on topics other than nutrition, such as disease spread and social regulation of colony development.",Methods in Ecology and Evolution (MEE),honey bee artificial intelligence,behavior detection,,,,,,,,,,
Ethoflow: Computer Vision and Artificial Intelligence-Based Software for Automatic Behavior Analysis,Bernardes et al.,2021,Tracking & Pose Estimation,Individual Tracking & Re-identification — Open-Source Multi-Individual Behaviour Tracking Platform,"CNN (object detector, instance segmentation: feature map + RPN + ROI pooling + sigmoid) + identity preservation across frames + kinematic variable extraction + trophallaxis scoring. Open-source Python (OpenCV + TensorFlow/Keras) with GUI.",Video,https://www.mdpi.com/1424-8220/21/9/3237,"Manual monitoring of animal behavior is time-consuming and prone to bias. An alternative to such limitations is using computational resources in behavioral assessments, such as tracking systems, to facilitate accurate and long-term evaluations. There is a demand for robust software that addresses analysis in heterogeneous environments (such as in field conditions) and evaluates multiple individuals in groups while maintaining their identities. The Ethoflow software was developed using computer vision and artificial intelligence (AI) tools to monitor various behavioral parameters automatically. An object detection algorithm based on instance segmentation was implemented, allowing behavior monitoring in the field under heterogeneous environments. Moreover, a convolutional neural network was implemented to assess complex behaviors expanding behavior analyses’ possibilities. The heuristics used to generate training data for the AI models automatically are described, and the models trained with these datasets exhibited high accuracy in detecting individuals in heterogeneous environments and assessing complex behavior. Ethoflow was employed for kinematic assessments and to detect trophallaxis in social bees. The software was developed in desktop applications and had a graphical user interface. In the Ethoflow algorithm, the processing with AI is separate from the other modules, facilitating measurements on an ordinary computer and complex behavior assessing on machines with graphics processing units. Ethoflow is a useful support tool for applications in biology and related fields.",Sensors,honey bee artificial intelligence,behavior detection,Brazil,Brazil,Brazil,BRA,Brazil,BRA,Brazil,BRA,2021,CNN & Variants
Honey Sources: Neural Network Approach to Bee Species Classification,Kelley et al.,2021,Classification,Species & Subspecies Classification — Crowdsourced Image Species Classification,"Two-stage pipeline: Stage 1 — Faster R-CNN + ResNet-101 + FPN (semi-supervised iterative bee localisation, 10,650 iterations). Stage 2 — same backbone + single-class RoI head (species classification). Data: 15,347 images from BeeSpotter crowdsource. 91% overall accuracy.",Image,https://www.sciencedirect.com/science/article/pii/S1877050921015544,"Bees are the main pollinators of the world and are dying at an alarming rate. Being able to classify them and study their habits is of paramount importance. Crowdsourced datasets are preferred methods for gathering data about the current state of bee populations in their natural environment. Such images, however, may be problematic to use due to large volume of images that place strain on the experts’ capabilities of identifying the species. We propose a method to identify regions of interest in an image containing a bee and to correctly classify the species of the bee. In addition, the procedure works on large crowdsourced datasets (we worked with BeeSpotter) with minimal manual annotation and data augmentation. Our approach is capable of addressing two genus and related bee species and records 91% correct classification. A limitation of the BeeSpotter dataset is labeling just one bee per image which may contain two or more bees. We overcome this issue by classifying all bees even in cases of two genus. Finally, the proposed approach is compared with two other recent works which report similar accuracy, but are limited with stricter image preprocessing or photographic setup.",,bee species classification,image classification,usa,usa,United States,USA,United States,USA,United States,USA,2021,Recurrent / Sequential
IoT-Based Bee Swarm Activity Acoustic Classification Using Deep Neural Networks,Zgank,2021,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Deep Neural Network Swarm Detection (IoT),MFCC features → Deep Neural Network (DNN). Compares WAV vs MP3 audio compression for IoT bandwidth. Best accuracy: 94.09% (WAV); MP3 compression degrades DNN accuracy >10%. Extends 2019 Zgank GMM-HMM paper.,Audio,https://www.mdpi.com/1424-8220/21/3/676,"Animal activity acoustic monitoring is becoming one of the necessary tools in agriculture, including beekeeping. It can assist in the control of beehives in remote locations. It is possible to classify bee swarm activity from audio signals using such approaches. A deep neural networks IoT-based acoustic swarm classification is proposed in this paper. Audio recordings were obtained from the Open Source Beehive project. Mel-frequency cepstral coefficients features were extracted from the audio signal. The lossless WAV and lossy MP3 audio formats were compared for IoT-based solutions. An analysis was made of the impact of the deep neural network parameters on the classification results. The best overall classification accuracy with uncompressed audio was 94.09%, but MP3 compression degraded the DNN accuracy by over 10%. The evaluation of the proposed deep neural networks IoT-based bee activity acoustic classification showed improved results if compared to the previous hidden Markov models system.",MDPI,,"Research problem
The paper focuses on automatic detection of bee swarming from audio recorded in beehives, especially for remote hives in an Internet of Things monitoring setting. The author states that swarming is a crucial event for the beekeeper, and that the main objective is to develop an efficient deep learning acoustic activity modeling technique for uncompressed or lossy compressed bee sounds that can support practical monitoring and alerting.","America, Europe, Australia (OSBH)",Slovenia,United States,USA,Slovenia,SVN,United States,USA,2015,Optimization / Probabilistic
Markerless Tracking of an Entire Honey Bee Colony,Bozek et al.,2021,Tracking & Pose Estimation,Individual Tracking & Re-identification — Colony-Scale Markerless Tag-Free Tracking,"Recurrent U-Net: standard U-Net + single temporal recurrent layer. Outputs per-frame maps of class (full-bee/cell-bee/brood), position (centroid), and heading (orientation angle). ~94% parameter reduction vs vanilla U-Net. Annotated two hive datasets.",Video,https://www.nature.com/articles/s41467-021-21769-1,"From cells in tissue, to bird flocks, to human crowds, living systems display a stunning variety of collective behaviors. Yet quantifying such phenomena first requires tracking a significant fraction of the group members in natural conditions, a substantial and ongoing challenge. We present a comprehensive, computational method for tracking an entire colony of the honey bee Apis mellifera using high-resolution video on a natural honeycomb background. We adapt a convolutional neural network (CNN) segmentation architecture to automatically identify bee and brood cell positions, body orientations and within-cell states. We achieve high accuracy (~10% body width error in position, ~10° error in orientation, and true positive rate > 90%) and demonstrate months-long monitoring of sociometric colony fluctuations. These fluctuations include ~24 h cycles in the counted detections, negative correlation between bee and brood, and nightly enhancement of bees inside comb cells. We combine detected positions with visual features of organism-centered images to track individuals over time and through challenging occluding events, recovering ~79% of bee trajectories from five observation hives over 5 min timespans. The trajectories reveal important individual behaviors, including waggle dances and crawling inside comb cells. Our results provide opportunities for the quantitative study of collective bee behavior and for advancing tracking techniques of crowded systems.",,Honey Bee artificial intelligence,tracking an entire colony of the honeybee using high-resolution video on a natural honeycomb background.,Japan,Japan,Japan,JPN,Japan,JPN,Japan,JPN,2021,CNN & Variants
Social Networks Predict the Life and Death of Honey Bees,Wild et al.,2021,Tracking & Pose Estimation,Individual Tracking & Re-identification,CNN (BeesBook barcode decoder) → social network graph construction → PCA + linear regression (lifespan prediction from network centrality features). Integrates large-scale transcriptomics (RNA-seq) with automated tracking.,Video,https://www.nature.com/articles/s41467-021-21212-5,"In complex societies, individuals’ roles are reflected by interactions with other conspecifics. Honey bees (Apis mellifera) generally change tasks as they age, but developmental trajectories of individuals can vary drastically due to physiological and environmental factors. We introduce a succinct descriptor of an individual’s social network that can be obtained without interfering with the colony. This ‘network age’ accurately predicts task allocation, survival, activity patterns, and future behavior. We analyze developmental trajectories of multiple cohorts of individuals in a natural setting and identify distinct developmental pathways and critical life changes. Our findings suggest a high stability in task allocation on an individual level. We show that our method is versatile and can extract different properties from social networks, opening up a broad range of future studies. Our approach highlights the relationship of social interactions and individual traits, and provides a scalable technique for understanding how complex social systems function.",Nature Communications,honey bee artificial intelligence,behavior detection,-,-,,,,,,,2016,CNN & Variants
Towards Computer Vision and Deep Learning Facilitated Pollination Monitoring for Agriculture,Ratnayake et al.,2021,Monitoring and Predictive Health Analytics,Pollen & Foraging Monitoring — Monitoring and Predictive Health Analytics,YOLOv4 (bee detection in outdoor field video) + KNN background subtraction (foreground segmentation). CVPR AgriVision workshop. Benchmarks deep detection vs traditional background subtraction for in-field pollination monitoring.,Video,https://openaccess.thecvf.com/content/CVPR2021W/AgriVision/papers/Ratnayake_Towards_Computer_Vision_and_Deep_Learning_Facilitated_Pollination_Monitoring_for_CVPRW_2021_paper.pdf?utm_source=chatgpt.com,"Globally, pollinators affect 35% of agricultural land and
play a key role in food production. Consequently, monitoring is useful to understand the contribution insects make
towards crop pollination. Traditional sampling techniques
used in insect monitoring have several drawbacks, including that they are labour intensive and potentially unreliable. Some of these drawbacks may be overcome using
computer vision and deep learning-based approaches to automate pollination monitoring. In this paper, we present
a pipeline for computer vision-based pollination monitoring and propose a novel algorithm, Polytrack, that tracks
multiple insects simultaneously in complex agricultural environments. Our algorithm uses deep learning and foreground/background segmentation to detect and track insects. We achieved precision and recall rates of 0.975 and
0.972 respectively when monitoring honeybees foraging in
our test sites within the polytunnels of an industrial strawberry farm. Polytrack includes a flower identification module to automate collection of insect-flower interaction data,
and a low-resolution processing mode that reduces computational demands placed on the processor to bring the software towards the requirements of low-powered monitoring
hardware.",CVPR,,"Research problem
The paper addresses the problem that traditional pollination-monitoring methods such as direct observation and pan-traps are labor-intensive, can be biased, and do not capture pollination behaviour well. The goal is to create an automatic system that can track multiple insect pollinators simultaneously in complex agricultural environments, record insect-flower interactions, and support pollination analysis without human intervention.",Australia,Australia,Australia,AUS,Australia,AUS,Australia,AUS,2020,Hybrid / Multi-Model
Tracking Individual Honeybees Among Wildflower Clusters with Computer Vision-Facilitated Pollinator Monitoring (HyDaT),"Ratnayake, Dyer & Dorin",2021,Tracking & Pose Estimation,Pollen & Foraging Monitoring — Outdoor Individual Bee Tracking Among Flowers,"HyDaT: Hybrid Detection and Tracking — dynamically switches between KNN background subtraction and CNN detector (whichever gives cleaner foreground per frame). 86.6% tracking performance, surpassing YOLOv2 baseline. Tracks one insect at a time.",Video,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239504,"Monitoring animals in their natural habitat is essential for advancement of animal behavioural studies, especially in pollination studies. Non-invasive techniques are preferred for these purposes as they reduce opportunities for research apparatus to interfere with behaviour. One potentially valuable approach is image-based tracking. However, the complexity of tracking unmarked wild animals using video is challenging in uncontrolled outdoor environments. Out-of-the-box algorithms currently present several problems in this context that can compromise accuracy, especially in cases of occlusion in a 3D environment. To address the issue, we present a novel hybrid detection and tracking algorithm to monitor unmarked insects outdoors. Our software can detect an insect, identify when a tracked insect becomes occluded from view and when it re-emerges, determine when an insect exits the camera field of view, and our software assembles a series of insect locations into a coherent trajectory. The insect detecting component of the software uses background subtraction and deep learning-based detection together to accurately and efficiently locate the insect among a cluster of wildflowers. We applied our method to track honeybees foraging outdoors using a new dataset that includes complex background detail, wind-blown foliage, and insects moving into and out of occlusion beneath leaves and among three-dimensional plant structures. We evaluated our software against human observations and previous techniques. It tracked honeybees at a rate of 86.6% on our dataset, 43% higher than the computationally more expensive, standalone deep learning model YOLOv2. We illustrate the value of our approach to quantify fine-scale foraging of honeybees. The ability to track unmarked insect pollinators in this way will help researchers better understand pollination ecology. The increased efficiency of our hybrid approach paves the way for the application of deep learning-based techniques to animal tracking in real-time using low-powered devices suitable for continuous monitoring.",,honeybees and artificial intelligence,tracking algorithm to monitor unmarked insects outdoors,Australia,Australia,Australia,AUS,Australia,AUS,Australia,AUS,2019,Hybrid / Multi-Model
Analyses of Audio and Video Recordings for Detecting a Honey Bee Hive Robbery,Tashakkori et al.,2020,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Hive Robbery Detection,Non-Negative Matrix Factorization (NMF) for audio source separation + frame differencing for video motion detection. Binary: robbery vs normal activity.,multimodal (Audio + Video),https://ieeexplore.ieee.org/abstract/document/9249684,"Honey bee hive robbery is a common phenomenon that occurs during a period when nectar sources are scarce. In such a case, the hives that are not strong enough to defend themselves and have stored resources such as honey or nectar may be robbed by bees from the nearby hives. Beekeepers often try different approaches to prevent or stop a robbery or take some measures to keep the robbed hive alive, but most of these efforts fail and the targeted hive will eventually collapse. This paper presents some results from the analysis done on audio and video recordings obtained at a hive before and after a robbery. The targeted hive was a top-bar hive and was robbed by the bees from its neighboring hives. Our analyses indicate that there are sufficient clues on the development and progress of a robbery that might be helpful in preventing it.",IEEE,,"Research problem:
The paper investigates whether a hive robbery can be identified by analyzing audio and video recordings from a hive. The authors state that they studied recordings obtained before and after a robbery, and that their analyses show there are sufficient clues on the development and progress of a robbery that may help prevent it.",USA (Italian bees),USA,United States,USA,United States,USA,United States,USA,2016,Domain Specific / Specialized
Anomaly Detection in Beehives Using Deep Recurrent Autoencoders,Davidson et al.,2020,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Swarm Anomaly Detection (Temperature),LSTM Autoencoder (encoder + decoder both multilayer LSTMs). Input: 60-min z-score normalised temperature windows. Threshold α tuned on holdout partition. 100% recall on swarm events across unseen hives.,time-series Sensor/temperature,https://arxiv.org/pdf/2003.04576.pdf,"Precision beekeeping allows to monitor bees’ living conditions by equipping beehives with sensors. The data recorded by these hives can be analyzed by machine learning models to learn behavioral patterns of or search for unusual events in bee colonies. One typical target is the early detection of bee swarming as apiarists want to avoid this due to economical reasons. Advanced methods should be able to detect any other unusual or abnormal behavior arising from illness of bees or from technical reasons, e.g. sensor failure. In this position paper we present an autoencoder, a deep learning model, which detects any type of anomaly in data independent of its origin. Our model is able to reveal the same swarms as a simple rule-based swarm detection algorithm but is also triggered by any other anomaly. We evaluated our model on real world data sets that were collected on different hives and with different sensor setups.",Not visiable,neural network honeybees,Swarm anomaly detection,-,Germany,,,Germany,DEU,Germany,DEU,2016,Recurrent / Sequential
Anomaly Detection in Beehives: An Algorithm Comparison,Davidson et al.,2020,Monitoring and Predictive Health Analytics,Colony Health & Acoustic Monitoring — Swarm Detection Algorithm Benchmark,"Deep LSTM Autoencoder vs 4 classical algorithms (Elliptic Envelope, Isolation Forest, Local Outlier Factor, One-Class SVM). Univariate (1 sensor) and multivariate (3 sensors) settings. LSTM AE achieves highest F1 and fewest false alarms.",time-series Sensor/temperature,https://arxiv.org/pdf/2110.03945.pdf,"Sensor-equipped beehives allow monitoring the living conditions of bees. Machine learning models can use the data of such hives to learn behavioral patterns and find anomalous events. One type of event that is of particular interest to apiarists for economical reasons is bee swarming. Other events of interest are behavioral anomalies from illness and technical anomalies, e.g. sensor failure. Beekeepers can be supported by suitable machine learning models which can detect these events. In this paper we compare multiple machine learning models for anomaly detection and evaluate them for their applicability in the context of beehives. Namely we employed Deep Recurrent Autoencoder, Elliptic Envelope, Isolation Forest, Local Outlier Factor and One-Class SVM. Through evaluation with real world datasets of different hives and with different sensor setups we find that the autoencoder is the best multi-purpose anomaly detector in comparison.",International Conference on Sensor Networks,neural network honeybees,Swarm anomaly detection,,Germany,,,Germany,DEU,Germany,DEU,2016,Recurrent / Sequential
"Application of Digital Particle Image Velocimetry to Insect Motion: Measurement of Incoming, Outgoing, and Lateral Honeybee Traffic",Mukherjee & Kulyukin,2020,Monitoring and Predictive Health Analytics,Hive Entrance & Traffic Monitoring — Optical Flow Traffic Analysis,DPIV (Digital Particle Image Velocimetry): FFT cross-correlation of interrogation windows (6×6 to 90×90 px) + 3-point Gaussian subpixel refinement + SNR filtering + vector-angle traffic classification. No learned model. Processing speed: ~19.5 min/video via 4-thread cluster.,Video,https://www.mdpi.com/2076-3417/10/6/2042/htm,"The well-being of a honeybee (Apis mellifera) colony depends on forager traffic. Consistent discrepancies in forager traffic indicate that the hive may not be healthy and require human intervention. Honeybee traffic in the vicinity of a hive can be divided into three types: incoming, outgoing, and lateral. These types constitute directional traffic, and are juxtaposed with omnidirectional traffic where bee motions are considered regardless of direction. Accurate measurement of directional honeybee traffic is fundamental to electronic beehive monitoring systems that continuously monitor honeybee colonies to detect deviations from the norm. An algorithm based on digital particle image velocimetry is proposed to measure directional traffic. The algorithm uses digital particle image velocimetry to compute motion vectors, analytically classifies them as incoming, outgoing, or lateral, and returns the classified vector counts as measurements of directional traffic levels. Dynamic time warping is used to compare the algorithm’s omnidirectional traffic curves to the curves produced by a previously proposed bee motion counting algorithm based on motion detection and deep learning and to the curves obtained from a human observer’s counts on four honeybee traffic videos (2976 video frames). The currently proposed algorithm not only approximates the human ground truth on par with the previously proposed algorithm in terms of omnidirectional bee motion counts but also provides estimates of directional bee traffic and does not require extensive training. An analysis of correlation vectors of consecutive image pairs with single bee motions indicates that correlation maps follow Gaussian distribution and the three-point Gaussian sub-pixel accuracy method appears feasible. Experimental evidence indicates it is reasonable to treat whole bees as tracers, because whole bee bodies and not parts thereof cause maximum motion. To ensure the replicability of the reported findings, these videos and frame-by-frame bee motion counts have been made public. The proposed algorithm is also used to investigate the incoming and outgoing traffic curves in a healthy hive on the same day and on different days on a dataset of 292 videos (216,956 video frames).",Applied Sciences,honeybees and artificial intelligence,entrance traffic analysis,usa,usa,United States,USA,United States,USA,United States,USA,2018,CNN & Variants
Automatic Detection and Classification of Honey Bee Comb Cells Using Deep Learning,Alves et al.,2020,Classification,Colony Health & Acoustic Monitoring — Comb Cell State Classification,"DeepBee: custom CNN pipeline. Detects and classifies comb cells into categories (empty, egg, open/capped brood, honey/pollen). Trained on hand-annotated comb photographs.",Image,https://www.sciencedirect.com/science/article/abs/pii/S0168169919307690,"In a scenario of worldwide honey bee decline, assessing colony strength is becoming increasingly important for sustainable beekeeping. Temporal counts of number of comb cells with brood and food reserves offers researchers data for multiple applications, such as modelling colony dynamics, and beekeepers information on colony strength, an indicator of colony health and honey yield. Counting cells manually in comb images is labour intensive, tedious, and prone to error. Herein, we developed a free software, named DeepBee©, capable of automatically detecting cells in comb images and classifying their contents into seven classes. By distinguishing cells occupied by eggs, larvae, capped brood, pollen, nectar, honey, and other, DeepBee© allows an unprecedented level of accuracy in cell classification. Using Circle Hough Transform and the semantic segmentation technique, we obtained a cell detection rate of 98.7%, which is 16.2% higher than the best result found in the literature. For classification of comb cells, we trained and evaluated thirteen different convolutional neural network (CNN) architectures, including: DenseNet (121, 169 and 201); InceptionResNetV2; InceptionV3; MobileNet; MobileNetV2; NasNet; NasNetMobile; ResNet50; VGG (16 and 19) and Xception. MobileNet revealed to be the best compromise between training cost, with ~9 s for processing all cells in a comb image, and accuracy, with an F1-Score of 94.3%. We show the technical details to build a complete pipeline for classifying and counting comb cells and we made the CNN models, source code, and datasets publicly available. With this effort, we hope to have expanded the frontier of apicultural precision analysis by providing a tool with high performance and source codes to foster improvement by third parties",Computers and Electronics in Agriculture,machine learning for honey bee behavior detection,detection and classification of honey bee comb cells,-,Portugal,,,Portugal,PRT,Portugal,PRT,2020,CNN & Variants
Image-Based Classification of Honeybees,Schurischuster et al.,2020,Classification,Varroa & Disease Detection — Healthy vs Varroa-Infected Bee Classification,Two-stage pipeline: AlexNet / ResNet-101 (sliding window detector) OR DeepLabV3 (semantic segmentation) → bee patch extraction → Varroa mite presence classification.,Image,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9286673,"Abstract:Behavioral analysis of honeybees is a key factor for keeping a healthy bee colony and therefore impacts our lives indirectly or even directly, due to their pollination of many plant species. Rapid growth of parasites like Varroa destructor is one of the main reasons for the elevated mortality of bee colonies. In this paper we are classifying bees into 'healthy' and 'infected' based on the presence of this parasitic mite. A camera facing the entrance of a beehive is acquiring the images used for a novel dataset, which is used to segment and detect Varroa destructor. We are comparing two classification methods based on AlexNet and ResNet as well as a semantic segmentation approach using DeepLabV3, with the latter achieving a per-class accuracy of minimum 90.8% with an overall f-score of 0.95. The evaluations are performed on a ground truth dataset with more than 13,000 manually labeled images of infected and healthy bees, which is made publicly available.",IEEE,,"Research problem:
The paper aims to build an automated bee classification system to determine whether a bee is healthy or infected by Varroa destructor. The motivation is that current manual monitoring of hive health and parasite load is time-consuming, invasive, and based on statistical sampling, so the authors want a more precise and economic automatic method.",-,Austria,,,Austria,AUT,Austria,AUT,2020,CNN & Variants
Individual Differences in Honey Bee Behavior Enabled by Plasticity in Brain Gene Regulatory Networks,Jones et al.,2020,Tracking & Pose Estimation,Waggle Dance & Social Behaviour — Tracking & Pose Estimation,"bCode barcode tracking → CNN (barcode localiser/decoder) + PCA (18 behavioural metrics → 2-PC space) + Random Forest (forager phenotype prediction, 82% accuracy). Integrates transcriptomics with tracking.",Video,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XKmUJ3AAAAAJ&sortby=pubdate&citation_for_view=XKmUJ3AAAAAJ:WF5omc3nYNoC,"Understanding the regulatory architecture of phenotypic variation is a fundamental goal in biology, but connections between gene regulatory network (GRN) activity and individual differences in behavior are poorly understood. We characterized the molecular basis of behavioral plasticity in queenless honey bee (Apis mellifera) colonies, where individuals engage in both reproductive and non-reproductive behaviors. Using high-throughput behavioral tracking, we discovered these colonies contain a continuum of phenotypes, with some individuals specialized for either egg-laying or foraging and ‘generalists’ that perform both. Brain gene expression and chromatin accessibility profiles were correlated with behavioral variation, with generalists intermediate in behavior and molecular profiles. Models of brain GRNs constructed for individuals revealed that transcription factor (TF) activity was highly predictive of behavior, and behavior-associated regulatory regions had more TF motifs. These results provide new insights into the important role played by brain GRN plasticity in the regulation of behavior, with implications for social evolution.","eLife Sciences Publications, Ltd",bee behavior using AI,behavior detection,usa,usa,United States,USA,United States,USA,United States,USA,2020,CNN & Variants
