Title,Authors,Year,Subcategory (ai task),Category (section),Approach (ai),Data modality,Url,Abstract,Venue name,Pass/fail,Search keyword,Research problem,Bee demographic,Research demographic,Bee_country,Collection time,Approach group
Automated Honey Bee Subspecies Identification Using Advanced Wing Venation Analysis and Adaptive Hierarchical Clustering,Dadgostar et al.,2025,Classification,Species & Subspecies Identification — Unsupervised Wing Venation Graph Clustering for Label-Free Subspecies Discrimination,"Fully label-free pipeline: NLM denoising + CLAHE enhancement → adaptive thresholding → morphological processing → Zhang-Suen skeletonization → graph-based feature vectors (local vein geometry + global network topology). Anomaly detection module (Isolation Forest, AUC 0.78) filters outliers. Adaptive Hierarchical Clustering (AHC) on 19,097 feature vectors → 11 clusters; silhouette score 0.72; 26.1% accuracy improvement over traditional morphometrics. Data: 26,481 wing images, 13 European countries. Ecological finding: M-lineage degree centrality 3.1±0.6 vs O-lineage 2.8±0.5. Ecology and Evolution 2025.",Image,,,,,,,,,,,
Automated identification of honey bee pollen loads for field-applied palynological studies,Barés et al.,2025,Classification,Pollen & Foraging Monitoring — SVM Classification of Pollen Loads via Autofluorescence Spectra,"Support Vector Machine (SVM) classifier applied to autofluorescence spectral signatures (UV/Vis spectrophotometer + dedicated portable pollen analyser prototype). Input: 334 pollen loads from 14 Mediterranean plant species; spectra measured within 4 hours of collection to prevent fluorescence drift. SVM discriminates all 14 species from spectral features alone without microscopy. Demonstrates non-destructive, real-time botanical origin identification from hive-collected loads. New Phytologist 248(3):1584–1599, Aug 2025.",Spectral (Fluorescence),,,,,,,,,,,
Automated monitoring and analyses of honey bee pollen foraging behavior using a deep learning-based imaging system,"Ngo, T. N., Rustia, D. J. A., Yang, E. C., & Lin, T. T.",2021,monitoring & predictive health analytics,,Convolutional Neural Network,image,https://www.sciencedirect.com/science/article/abs/pii/S0168169921002568,"Pollen foraging efficiency provides vital information for the behavioral research on honey bees. The pollen production of beehives can be measured by manually weighing the pollen collected from pollen traps. For long-term pollen foraging monitoring, this approach is both inefficient and laborious. This study presents an efficient method for automatically monitoring the pollen foraging behavior and environmental conditions through an embedded imaging system. The imaging system uses an off-the-shelf camera installed at the beehive entrance to acquire video streams that are processed using the developed image processing algorithm. A lightweight real-time object detection and deep learning-based classification model, supported by an object tracking algorithm, was trained for counting and recognizing honey bee into pollen or non-pollen bearing class. The F1-score was 0.94 for pollen and non-pollen bearing honey bee recognition, and the precision and recall values were 0.91 and 0.99, respectively. For foraging trip counting algorithm, the mean average percent errors of the pollen bearing honey bee count and the total incoming honey bee count were 8.45 ± 2.72% and 10.55 ± 2.10%, respectively. An experiment was performed to test the performance of the imaging system in continuous monitoring of honey bee pollen foraging behavior as well as to investigate the effect caused by weather factors. The incoming and outgoing honey bee count were recorded and used to calculate indices based on the hourly and daily recorded counts for further analyses. The experimental results and analyses revealed that the daily pollen foraging trip ratio was 24.5 ± 3.5%; a single beehive collected about 49.1 ± 11.0 g of pollen per day. The pollen foraging trip count increased with increasing temperature and light intensity, and decreased with increasing relative humidity, rain level and wind speed. A significant reduction of pollen foraging activities was observed in heavy rainfall or gentle breeze conditions. This study not only quantitatively presents the effect of environmental factors on pollen foraging behavior, but also demonstrates the efficacy of the proposed imaging system. The automated imaging system can be applied as an efficient and reliable tool for researchers to gain deeper insights into honey bee foraging behavior, and help beekeepers achieve beehive management.",Computers and Electronics in Agriculture,Pass,honeybees and artificial intelligence,monitoring,Taiwan,Taiwan,"Taiwan, Province of China",2019,CNN & Variants
Automated Monitoring of Honey Bees with Barcodes and Artificial Intelligence Reveals Two Distinct Social Networks from a Single Affiliative Behavior,Gernat et al.,2022,monitoring & predictive health analytics,Waggle Dance & Social Behaviour — monitoring & predictive health analytics,Dense barcode tracking (BeesBook CNN decoder) + dedicated trophallaxis CNN detector. CNN reduces trophallaxis detection error by 11% and boosts sensitivity 67% over prior detector. Reveals two distinct social networks from trophallaxis events.,Video,https://www.nature.com/articles/s41598-022-26825-4,"Barcode-based tracking of individuals is revolutionizing animal behavior studies, but further progress hinges on whether in addition to determining an individual’s location, specific behaviors can be identified and monitored. We achieve this goal using information from the barcodes to identify tightly bounded image regions that potentially show the behavior of interest. These image regions are then analyzed with convolutional neural networks to verify that the behavior occurred. When applied to a challenging test case, detecting social liquid transfer (trophallaxis) in the honey bee hive, this approach yielded a 67% higher sensitivity and an 11% lower error rate than the best detector for honey bee trophallaxis so far. We were furthermore able to automatically detect whether a bee donates or receives liquid, which previously required manual observations. By applying our trophallaxis detector to recordings from three honey bee colonies and performing simulations, we discovered that liquid exchanges among bees generate two distinct social networks with different transmission capabilities. Finally, we demonstrate that our approach generalizes to detecting other specific behaviors. We envision that its broad application will enable automatic, high-resolution behavioral studies that address a broad range of previously intractable questions in evolutionary biology, ethology, neuroscience, and molecular biology.",Scientific Reports,Pass,Honey Bee artificial intelligence,Bee detection and classification,-,-,,2023,CNN & Variants
Automated tracking and analysis of behavior in restrained insects,Shen et al.,2015,Tracking & Pose Estimation,Waggle Dance & Social Behaviour — Learning & Memory Analysis,GMM background subtraction + Naïve Bayesian Classifier + Hungarian algorithm,Video,https://graphics.uni-konstanz.de/publikationen/Shen2015Automatedtrackinganalysis/Shen2015Automatedtrackinganalysis.pdf,"Background: Insect behavior is often monitored by human observers and measured in the form of binary responses. This procedure is time costly and does not allow a fine graded measurement of behavioral performance in individual animals. To overcome this limitation, we have developed a computer vision system which allows the automated tracking of body parts of restrained insects. New method: Our system crops a continuous video into separate shots with a static background. It then segments outthe insect’s head and preprocesses the detected moving objects to exclude detection errors. A Bayesian-based algorithm is proposed to identify the trajectory of each body part. Results: We demonstrate the application of this novel tracking algorithm by monitoring movements of the mouthparts and antennae of honey bees and ants, and demonstrate its suitability for analyzing the behavioral performance of individual bees using a common associative learning paradigm. Comparison with existing methods: Our tracking system differs from existing systems in that it does not require each video to be labeled manually and is capable of tracking insects’ body parts even when working with low frame-rate videos. Our system can be generalized for other insecttracking applications. Conclusions: Our system paves the ground for fully automated monitoring of the behavior of restrained insects and accounts for individual variations in graded behavior.",Elsevier,Pass,,"The authors say that learning and memory in bees are often measured only in a crude binary way, and that available insect tracking systems often require marking, track only single insects, work only with slow insects, or track only one type of body part. They say they developed this system to automatically track body parts of restrained insects and provide quantitative, graded behavioral measurements.",USA,Germany,United States,2014,Optimization / Probabilistic
Automated Video Monitoring of Unmarked and Marked Honey Bees at the Hive Entrance,Rodriguez et al.,2022,Tracking & Pose Estimation,Hive Entrance & Traffic Monitoring — Pose-Based Entrance Tracking and Pollen Classification,VGG-19 backbone → two parallel pose detection heads (confidence maps + part-affinity fields for 5 body keypoints) + Hungarian algorithm (trajectory linking) + pollen-load classifier + barcode ID module. Outperforms YOLOv3 on pose accuracy and pollen classification.,Video,https://www.frontiersin.org/articles/10.3389/fcomp.2021.769338/full,"We present a novel system for the automatic video monitoring of honey bee foraging activity at the hive entrance. This monitoring system is built upon convolutional neural networks that perform multiple animal pose estimation without the need for marking. This precise detection of honey bee body parts is a key element of the system to provide detection of entrance and exit events at the entrance of the hive including accurate pollen detection. A detailed evaluation of the quality of the detection and a study of the effect of the parameters are presented. The complete system also integrates identification of barcode marked bees, which enables the monitoring at both aggregate and individual levels. The results obtained on multiple days of video recordings show the applicability of the approach for large-scale deployment. This is an important step forward for the understanding of complex behaviors exhibited by honey bees and the automatic assessment of colony health.",,Pass,Honey Bee artificial intelligence,"Bee pose detection, tagging and tracking bees with help of Barcode, foraging event detection and classification (entrance/exit, presence of pollen)",Puerto Rico,Puerto Rico,Puerto Rico,2017,CNN & Variants
Automatic behaviour analysis system for honeybees using computer vision,Tu et al.,2016,monitoring & predictive health analytics,Hive Entrance & Traffic Monitoring — Forager Activity,Background subtraction + statistical analysis (linear regression),Video,https://pdf.sciencedirectassets.com/271304/1-s2.0-S0168169916X00026/1-s2.0-S0168169916000168/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEBsaCXVzLWVhc3QtMSJIMEYCIQDrSMC0QIyJQQB156hQKh2mKoz1ckG58d%2B5G1tBPFaKMgIhAPFctYgDO27PZCXbAM4eqMBPucRmKAQ7qD3QVKIrgPuNKrwFCOT%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgxzXOxC8vS79TERSV4qkAVb2dTfzazNqhVnd1detapG9h4x9wtDqKurDD0V86lCMs49DP72e7q1bh%2F0K6nzHT1%2FJ8%2BPMSuPQc78kI%2B5L9rJAXTKQndjcH6IX2P%2FkzLRxa2Vo%2BjbtEKM41Y4VkKcmFllfqhysf20ZyUys1uensucnsW7OOp4pSzwZQyn9EKwk5F%2FpFMvrd6ZaEI0Ic6nXJXFKFJAkurnWt2qqaAYnZAbrZeP%2B0%2BMqRcqjkHfPBO08NB2RBHzJUdhBiNWXqnQhQ2NYShTqzK754jbzNTgnNisakcXftixX%2FLd5R%2FCO%2BYSSBDh40Qsc%2FGUNulIeDbgpoHwGECkZZhMo4KMDNRvUVdTVN9yOji4NFccXi6vAyNoSTxBjWU7YW6WdgIvTmBUWpqyL7SK%2FHHAritpkgvJ2lnMhlxfCUdYn3fvBQVFTjEN5tjjWqyQMLlzRDDQlN%2FhELXKNnDM%2BG6kQUoeuU1rBTyIB3NqhhvKDl%2Fn0togez7Xqq6gZRMo8wKj13Ah5rgz4bTECyOqXELfeBDomsPoQ27xLwklWAlaBI40CMBJ89ny8lrZrsUFMmWTTyG9M7bxGmd1W7gc2h2BF9%2B6b1%2BR52WmgttwXjAPWdy5y74EsZ2GSmIv5yVBNB%2BkXGFUzDRwc80EBR%2BsE8VmttCPlQa03Vez6Kou5ZFj6uQ5H3udJSLLGvYdTTyeV0nvjXCx4r4kF%2FSieNb1wqFlbeTILcVgMfktXhu5NVDKsw%2F0VawM817x4MxMV8YZVGksi9%2BA45f1mls38HvWpUX2jbDLOzf%2BUeKEA2ZcRyb4J%2FIucIJVmiWle3MqV5A%2BYgWCqp8Fbwq8lGdivL1%2BDYWXyHEBO5Lo%2Ba1PDjpefTGJil3qt71lc9uXtzDx4arNBjqwAefJDlRL2GZesAIo%2BVtMG%2FKHt9RtxIu2SdESsmm6RO55NLqDIv15FveTrNfq%2BuCDY9542T672KK8J0aGTGQzk59woBlXy122ZDlQZTS1CtoqNGIwOeliUqWi7VkfBYgr6GL8uN1Kogzzo%2FsaBF6HYNDak70LjU2gPyylGPw9Jgevhoyl3vbJ9iAaUL2qfWiz5XVa%2FWPQxWdNgSOAufNvMMJpiMLkwkh53OuY180AhTHc&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20260306T110517Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYSXBMNDZG%2F20260306%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=eea1d14b8ea9d04b2d5c7ac2c045c25a9c708e183ace1d3b0943e9b42ed05bc1&hash=0dc122753bdca0ccdd554fb0ebf00b818ff0b35d7ec214620917290978e89797&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0168169916000168&tid=spdf-dd062d28-fc2e-4f8c-918a-75acea2177a0&sid=a30124f650e3f84cfb89e883140f7b92b367gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=06005e065f52045556&rr=9d80e26ccd97709f&cc=de,"We present a fully automatic online video system, which is able to detect the behaviour of honeybees at the beehive entrance. Our monitoring system focuses on observing the honeybees as naturally as possible (i.e. without disturbing the honeybees). It is based on the Raspberry Pi that is a low-cost embedded computer with very limited computational resources as compared to an ordinary PC. The system succeeds in counting honeybees, identifying their position and measuring their in-and-out activity. Our algorithm uses background subtraction method to segment the images. After the segmentation stage, the methods are primarily based on statistical analysis and inference. The regression statistics (i.e. R2 ) of the comparisons of system predictions and manual counts are 0.987 for counting honeybees, and 0.953 and 0.888 for measuring in-activity and out-activity, respectively. The experimental results demonstrate that this system can be used as a tool to detect the behaviour of honeybees and assess their state in the beehive entrance. Besides, the result of the computation time show that the Raspberry Pi is a viable solution in such real-time video processing system",Elsevier,Pass,,"The paper addresses the problem that automatic monitoring of honeybee behaviour at the hive entrance is still an open challenge in computer vision. The authors want a system that can monitor bees as naturally as possible, without tags and with minimal disturbance, while automatically measuring behaviour such as bee count and in-and-out activity at the entrance.",Denmark,Denmark,Denmark,2014,Classical ML
Automatic Detection and Classification of Honey Bee Comb Cells Using Deep Learning,Alves et al.,2020,Classification,Colony Health & Acoustic Monitoring — Comb Cell State Classification,"DeepBee: custom CNN pipeline. Detects and classifies comb cells into categories (empty, egg, open/capped brood, honey/pollen). Trained on hand-annotated comb photographs.",Image,https://www.sciencedirect.com/science/article/abs/pii/S0168169919307690,"In a scenario of worldwide honey bee decline, assessing colony strength is becoming increasingly important for sustainable beekeeping. Temporal counts of number of comb cells with brood and food reserves offers researchers data for multiple applications, such as modelling colony dynamics, and beekeepers information on colony strength, an indicator of colony health and honey yield. Counting cells manually in comb images is labour intensive, tedious, and prone to error. Herein, we developed a free software, named DeepBee©, capable of automatically detecting cells in comb images and classifying their contents into seven classes. By distinguishing cells occupied by eggs, larvae, capped brood, pollen, nectar, honey, and other, DeepBee© allows an unprecedented level of accuracy in cell classification. Using Circle Hough Transform and the semantic segmentation technique, we obtained a cell detection rate of 98.7%, which is 16.2% higher than the best result found in the literature. For classification of comb cells, we trained and evaluated thirteen different convolutional neural network (CNN) architectures, including: DenseNet (121, 169 and 201); InceptionResNetV2; InceptionV3; MobileNet; MobileNetV2; NasNet; NasNetMobile; ResNet50; VGG (16 and 19) and Xception. MobileNet revealed to be the best compromise between training cost, with ~9 s for processing all cells in a comb image, and accuracy, with an F1-Score of 94.3%. We show the technical details to build a complete pipeline for classifying and counting comb cells and we made the CNN models, source code, and datasets publicly available. With this effort, we hope to have expanded the frontier of apicultural precision analysis by providing a tool with high performance and source codes to foster improvement by third parties",Computers and Electronics in Agriculture,Pass,machine learning for honey bee behavior detection,detection and classification of honey bee comb cells,-,Portugal,,2020,CNN & Variants
Automatic detection and decoding of honey bee waggle dances,Wario et al.,2017,Classification,Waggle Dance & Social Behaviour — Classification,Fourier analysis of pixel intensity (waggle-band detection) + hierarchical agglomerative clustering (HAC) + 3D CNN (false-positive filter) + PCA (orientation extraction) + RANSAC (dance clustering).,Video,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0188626&type=printable,"The waggle dance is one of the most popular examples of animal communication. Forager bees direct their nestmates to profitable resources via a complex motor display. Essentially, the dance encodes the polar coordinates to the resource in the field. Unemployed foragers follow the dancer’s movements and then search for the advertised spots in the field. Throughout the last decades, biologists have employed different techniques to measure key characteristics of the waggle dance and decode the information it conveys. Early techniques involved the use of protractors and stopwatches to measure the dance orientation and duration directly from the observation hive. Recent approaches employ digital video recordings and manual measurements on screen. However, manual approaches are very time-consuming. Most studies, therefore, regard only small numbers of animals in short periods of time. We have developed a system capable of automatically detecting, decoding and mapping communication dances in real-time. In this paper, we describe our recording setup, the image processing steps performed for dance detection and decoding and an algorithm to map dances to the field. The proposed system performs with a detection accuracy of 90.07%. The decoded waggle orientation has an average error of -2.92˚ (± 7.37˚), well within the range of human error. To evaluate and exemplify the system’s performance, a group of bees was trained to an artificial feeder, and all dances in the colony were automatically detected, decoded and mapped. The system presented here is the first of this kind made publicly available, including source code and hardware specifications. We hope this will foster quantitative analyses of the honey bee waggle dance.","Public Library of Science San Francisco, CA USA",Pass,,"The paper addresses the problem that manual waggle-dance decoding from observation hives or digital videos is very time-consuming, so most studies can only analyze small numbers of bees for short periods. The authors therefore aim to build a system that can automatically detect, decode, and map honey bee waggle dances in real time.",Germany,Germany,Germany,2015,Hybrid / Multi-Model
Automatic Honey Bee Queen Presence Detection on Beehive Frames Using Machine Learning,Marquis et al.,2022,monitoring & predictive health analytics,Colony Health & Acoustic Monitoring — monitoring & predictive health analytics,Two-pipeline comparison: (1) HOG + PCA + binary SVM (traditional ML); (2) LeNet-5-style CNN (deep learning). CNN achieves higher accuracy; HOG-PCA-SVM attractive for low-resource environments. Both distinguish queen vs worker on frame photographs.,Image,https://link.springer.com/chapter/10.1007/978-981-16-8129-5_125,"A honey bee queen plays a vital role in a bee colony. Thus, locating it in a beehive frame is one of the important tasks performed by the beekeepers. However, searching for the queen bee with the naked eye is time consuming and its effectiveness largely depends on the visual acuity of the beekeeper. Therefore, we propose two methods to automate this task using machine learning techniques. One of them is deep learning-based while the other is based on a classical method. We evaluated both methods and the obtained results are promising and highlight their efficiency.","International Conference on Robotics, Vision, Signal Processing and Power Applications:",Pass,neural network honeybees,Detection of the Queen presence,-,Canada,,-,CNN & Variants
Automatic Localization and Decoding of Honeybee Markers Using Deep Convolutional Neural Networks,"Wild, Sixt & Landgraf",2018,Tracking & Pose Estimation,Individual Tracking & Re-identification — Barcode Marker Localization & Decoding,Two-stage CNN: (1) lightweight fully convolutional localiser on downsampled frames → heatmaps; (2) deeper decoder CNN on high-res crops → 12-bit marker probability. (BeesBook pipeline),Video,https://arxiv.org/pdf/1802.04557.pdf?fbclid=IwAR2a2g0EPrXVAYnqbk8fNMetmDFrfpblll_mgigBN3sriquZ9RXXYEU_OE0,"The honeybee is a fascinating model animal to investigate how collective behavior emerges from (inter-)actions of thousands of individuals. Bees may acquire unique memories throughout their lives. These experiences a_x001d_ect social interactions even over large time frames. Tracking and identifying all bees in the colony over their lifetimes therefore may likely shed light on the interplay of individual di_x001d_erences and colony behavior. This paper proposes a software pipeline based on two deep convolutional neural networks for the localization and decoding of custom binary markers that honeybees carry from their _x001b_rst to the last day in their life. We show that this approach outperforms similar systems proposed in recent literature. By opening this software for the public, we hope that the resulting datasets will help advancing the understanding of honeybee collective intelligence.",Not visiable,Pass,neural network honeybees,tracking,-,Germany,,20152016,CNN & Variants
Automatic methods for long-term tracking and the detection and decoding of communication dances in honeybees,Wario et al.,2015,Tracking & Pose Estimation,Waggle Dance & Social Behaviour — Dance Detection & Decoding,Probabilistic barcode ID filter + motion-based waggle detection + Bayesian temporal tracking,Video,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2015.00103/full,"The honeybee waggle dance communication system is an intriguing example of abstract animal communication and has been investigated thoroughly throughout the last seven decades. Typically, observables such as waggle durations or body angles are extracted manually either directly from the observation hive or from video recordings to quantify properties of the dance and related behaviors. In recent years, biology has profited from automation, improving measurement precision, removing human bias, and accelerating data collection. We have developed technologies to track all individuals of a honeybee colony and to detect and decode communication dances automatically. In strong contrast to conventional approaches that focus on a small subset of the hive life, whether this regards time, space, or animal identity, our more inclusive system will help the understanding of the dance comprehensively in its spatial, temporal, and social context. In this contribution, we present full specifications of the recording setup and the software for automatic recognition of individually tagged bees and the decoding of dances. We discuss potential research directions that may benefit from the proposed automation. Lastly, to exemplify the power of the methodology, we show experimental data and respective analyses from a continuous, experimental recording of 9 weeks duration",Frontiers Media SA,Pass,,"Research problem Manual and limited observation makes it hard to study waggle dances and related interactions in the full spatial, temporal, and social context, especially if you want to follow individual bees back in time for weeks. The paper states that no system was available for continuous long-term tracking of uniquely identifiable bees together with automatic recognition of waggle dance, dance-following, and trophallaxis—so they propose BeesBook to address this gap.",-,Europe,,2014,Optimization / Probabilistic
Autonomous Tracking of Honey Bee Behaviors Over Long-Term Periods with Cooperating Robots (AROBA),Ulrich et al.,2024,Tracking & Pose Estimation,Individual Tracking & Re-identification — Autonomous Robotic Long-Term Queen and Colony Behavior Tracking,"AROBA system: two autonomous camera-robot heads + CNN (queen localisation, fiducial marker detection, court bee detection, brood cell classification, comb content mapping). 30-day continuous 24/7 operation; >100 million images. 23 Key Behavioral Metrics. Science Robotics 2024.",Multimodal (Image/Video),https://www.science.org/doi/10.1126/scirobotics.adn6848,"Digital and mechatronic methods, paired with artificial intelligence and machine learning, are transformative technologies in behavioral science and biology. The central element of the most important pollinator species—honey bees—is the colony’s queen. Because honey bee self-regulation is complex and studying queens in their natural colony context is difficult, the behavioral strategies of these organisms have not been widely studied. We created an autonomous robotic observation and behavioral analysis system aimed at continuous observation of the queen and her interactions with worker bees and comb cells, generating behavioral datasets of exceptional length and quality. Key behavioral metrics of the queen and her social embedding within the colony were gathered using our robotic system. Data were collected continuously for 24 hours a day over a period of 30 days, demonstrating our system’s capability to extract key behavioral metrics at microscopic, mesoscopic, and macroscopic system levels. Additionally, interactions among the queen, worker bees, and brood were observed and quantified. Long-term continuous observations performed by the robot yielded large amounts of high-definition video data that are beyond the observation capabilities of humans or stationary cameras. Our robotic system can enable a deeper understanding of the innermost mechanisms of honey bees’ swarm-intelligent self-regulation. Moreover, it offers the possibility to study other social insect colonies, biocoenoses, and ecosystems in an automated manner. Social insects are keystone species in all terrestrial ecosystems; thus, developing a better understanding of their behaviors will be invaluable for the protection and even the restoration of our fragile ecosystems globally.",ScieneRobotics,Pass,,"detecting bee behaviors such as egg-laying, tracking the queen, and identifying worker interactions. to enable a deeper understanding of the innermost mechanisms of honey bees’ swarm-intelligent self-regulation.",-,Austria,,2023,CNN & Variants
Bee Detection in Bee Hives Using Selective Features from Acoustic Data,Rustam et al.,2024,Classification,Colony Health & Acoustic Monitoring — Classification,"PCA (feature selection: spectral centroid, ZCR, MFCC, Chromagram, CQT) + KNN, LR, SVC, RF classifiers compared. Binary: bee vs no-bee sounds. Feature importance analysis via selective feature evaluation.",Audio,https://link.springer.com/article/10.1007/s11042-023-15192-5,"Honeybees, a key pollinator of the world’s most cultivated crops, are experiencing colony collapses due to a variety of factors. The existence of honeybees and queens is critical to the sociality of a colony, and the presence of bees in agricultural settings is vital to the ecological balance. Moreover, beehives without a queen may lead to the decline of an entire colony therefore finding them through effective and an accurate approach is a critical task. In this scenario, we analyzed acoustic/sound data of various classes (i.e. Bee, NoBee, and NoQueen) from beehive colonies. This study examines five distinct features including spectral centroid, zero-crossing rate, Mel-frequency cepstral coefficients (MFCC), chromagram, and constant Q-transform characteristics for their suitability in detecting bees using the acoustic data. In addition, selective features using principal component analysis (PCA), Chi-square analysis (Chi2), and singular value decomposition (SVD) are used. Moreover, the study proposes hybrid features where selective PCA, Chi2, and SVD characteristics are integrated to create a suitable feature set. Experimental results exhibit the suitability of the hybrid feature set which outperformed individual features for “Bee”, “NoBee” and “NoQueen” classes prediction. Cross-validation and T-test results also confirm the superior performance of hybrid MFCC features. The results indicate that RF and KNN show better performance than other machine learning models with maximum accuracy scores of 0.82 and 0.83, respectively.",SpringerNature,Pass,,bee detection using a sound dataset,-,Brazil,,2022,Classical ML
Bee Disease Varroa Prediction Utilizing Convolutional Neural Networks with Augmentation for Robust Detection,Sharma et al.,2024,Detection,Varroa & Disease Detection — CNN Ensemble with Augmentation for Varroa Detection,"Resnet50, CNN, Inception Models",Images,https://ieeexplore.ieee.org/abstract/document/10798343,"Honeybees, integral to global pollination and food security, confront an imminent threat posed by the Varroa destructor mite. Timely identification of Varroa infestations is pivotal for sustaining bee populations. This research introduces a pioneering strategy for early detection, harnessing cutting-edge deep learning methodologies, specifically centered around Convolutional Neural Networks (CNNs), with emphasis on ResNet and Inception models. Additionally, we deploy data augmentation techniques to refine model training. Employing Contrast Limited Adaptive Histogram Equalization (CLAHE) as a preprocessing measure enhances image quality and elevates detection precision. Our findings exhibit substantial advancements in Varroa mite identification, promising improved bee health management and fostering sustainable pollination practices. The outcomes of our experiments are promising, suggesting that our proposed approach enhances the process of identifying bee disease. This improvement holds the potential to yield superior uncovering results compared to existing methods.",IEEE,Pass,,Varroa mite detection in honeybee populations,United States,New Zealand,United States,2024,CNN & Variants
Bee Hive Acoustic Monitoring and Processing Using Convolutional Neural Network and Machine Learning,Sakova et al.,2024,monitoring & predictive health analytics,Colony Health & Acoustic Monitoring — monitoring & predictive health analytics,LSTM and 1D-CNN on 1D audio spectrum features. Binary classification: queen present vs absent. Systematic review of available bee audio datasets. IoT sensor network deployment.,Audio,https://ieeexplore.ieee.org/document/10524087/,"This article focuses on utilizing artificial intelligence in monitoring bee colonies by analyzing their sound manifestations through smart sensor networks. It examines available datasets of recorded audio data from the hives. The collection of sound samples is realized through embedded systems consisting of micro-controllers, microphones and various sensors (e.g. temperature, humidity, pressure, weight, etc.) in the nodes of the smart sensor networks located in the hives of our interest. Subsequently, we test the ability of deep learning algorithms to predict the presence of the queen bee in the hive. The work implements models of two deep-learning algorithms and evaluates the created models’ performance in processing sound for one-dimensional signals.",IEEE,Pass,-,Classification of bee colony sounds (queen bee presence),USA,Slovakia,United States,2019,Recurrent / Sequential
Bee Hive Traffic Monitoring by Tracking Bee Flight Paths,Magnier et al.,2018,monitoring & predictive health analytics,Hive Entrance & Traffic Monitoring — Low-Resource Entrance Traffic Counting,Background subtraction (median image diff) + blue-shadow removal + variance + Canny edge detection + Ellipse fitting (detection) + Concordance-based nearest-ellipse tracker + path-endpoint counting (Classical CV). No learned model.,Video,https://hal.science/hal-01940300/document,"The number of pollinator insect is in decline in Europe and this raises concerns about the supply of pollination services to agriculture. Thus, countries with a low number of honeybees are more vulnerable to negative shifts in wild pollinator communities. Consequently, the demand for honeybee pollination is higher than ever but beekeepers are also very concerned by the strength of their colonies. To measure this factor, a very important indicator to take into account is the flight activity at the beehive entrance. A quantitative measure of the activity can be related to the environment and does not only benefit beekeepers but scientists too. In this paper, we present a complete method of measuring this activity. It is represented by the number of bees going in or out of the beehive. The developed method is divided in three parts: the first one consists in bee detection thanks to several image transformations using background subtraction and ellipse approximations. The second one is about tracking bees, by assuming their future positions in order to determine whether they are going in or getting out of the beehive. The last one consists in counting the bees. Finally, the experimental results demonstrate that our system created with limited resources can be used to precisely measure the flight activity at the beehive entrance.","VISIGRAPP 2018-13th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",Pass,,"Research problem The paper aims to measure the in-and-out activity at a beehive entrance because this traffic is an important indicator of colony strength, health, and activity. The paper also states a more specific technical goal: to do this without sophisticated devices and with the smallest amount of resources.",-,Portugal,,2018,Classical CV
Bee Swarm Activity Acoustic Classification for an IoT-Based Farm Service,Zgank,2019,monitoring & predictive health analytics,Colony Health & Acoustic Monitoring — Swarm Prediction and Detection,MFCC + LPC (Linear Predictive Coding) features + denoising → GMM-HMM (various topologies). IoT architecture for edge deployment on embedded hardware. Binary: normal vs swarm activity. Data: Open Source Beehives Project.,Audio,https://www.mdpi.com/1424-8220/20/1/21,"Beekeeping is one of the widespread and traditional fields in agriculture, where Internet of Things (IoT)-based solutions and machine learning approaches can ease and improve beehive management significantly. A particularly important activity is bee swarming. A beehive monitoring system can be applied for digital farming to alert the user via a service about the beginning of swarming, which requires a response. An IoT-based bee activity acoustic classification system is proposed in this paper. The audio data needed for acoustic training was collected from the Open Source Beehives Project. The input audio signal was converted into feature vectors, using the Mel-Frequency Cepstral Coefficients (with cepstral mean normalization) and Linear Predictive Coding. The influence of the acoustic background noise and denoising procedure was evaluated in an additional step. Different Hidden Markov Models’ and Gaussian Mixture Models’ topologies were developed for acoustic modeling, with the objective being to determine the most suitable one for the proposed IoT-based solution. The evaluation was carried out with a separate test set, in order to successfully classify sound between the normal and swarming conditions in a beehive. The evaluation results showed that good acoustic classification performance can be achieved with the proposed system.",MDPI,Pass,,"Research problem The paper focuses on automatic detection of bee swarming from sound recorded inside the hive. It says swarming is an important event that requires a beekeeper’s response, and one of the paper’s main objectives is to define the most suitable classification configuration for an Internet of Things-based bee swarm monitoring system. The paper simplifies the task into two classes: normal activity and swarm activity.",Latvia (OSBP),Slovenia,Latvia,2013,Optimization / Probabilistic
