Title,Papers,URL,Authors,Year,Abstract,Venue Name,Data modality,Pass/Fail,Search Keyword,Approach (AI),Research Problem,Category
Visual recognition of honeybee behavior patterns at the hive entrance,Visual recognition of honeybee behavior patterns at the hive entrance,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0318401,Sledevič et al.,2025,"This study presents a novel method for automatically recognizing honeybee behavior patterns at the hive entrance, significantly contributing to beekeeping and hive management. Utilizing advanced YOLOv8 models for detection and segmentation, our approach analyzes various aspects of bee behavior, including location, direction, path trajectory, and movement speed within a designated area on the hive’s landing board. The system effectively detects multiple bee activities such as foraging, fanning, washboarding, and defense, achieving a mean detection accuracy of 98% and operating at speeds of up to 36 fps, surpassing state-of-the-art methods in both speed and accuracy. Key contributions include the development of a comprehensive dataset with 7200 frames from eight beehives, the introduction of the first known research focused on recognizing bee behavior patterns through visual analysis at the hive entrance, and a comparative evaluation of various object detection and tracking algorithms tailored for bee detection and behavior recognition. Our findings indicate that this method enhances monitoring capabilities for beekeepers while reducing the need for manual inspections, thereby minimizing disturbances to the bees. By analyzing spatial trajectories and occurrence density maps, the proposed framework provides robust identification of overlapping behaviors, facilitating timely interventions when necessary. This work lays the groundwork for future automated monitoring systems aimed at improving hive health and productivity.",Plos One Journal,Images,,,YOLOVv8,automated monitoring of bee behaviour patterns,monitoring & health assessment
A Color Moments-Based Method for Detection of Honey Bee Diseases,A Color Moments-Based Method for Detection of Honey Bee Diseases,https://ieeexplore.ieee.org/document/10710692/,Micheli et al.,2024,"Since the inception of natural life, honey bees have constituted one of the most significant natural elements of pollination. It is therefore imperative to ensure the continued health of bees in order to maintain the bee population. The health of honey bees is threatened by five main diseases. This study proposes a novel, lightweight method for the detection of the five most prevalent diseases affecting honey bees. The method is based on color moments and provides sensitive feature extraction for the detection of color changes in images of bees that have been intensively coloured. The mean, variance and skewness values were calculated for each of the red, green and blue channels from the bee images, resulting in the extraction of nine features. The extracted features were then classified using a support vector machine (SVM). It was observed that the majority of the obtained results exhibited superior performance compared to deep learning solutions.",IEEE,Images,,,SVM (Color Moments),detection of the five most prevalent diseases affecting honey bees,detection
A machine learning approach for queen bee detection through remote audio sensing to safeguard honeybee colonies,A machine learning approach for queen bee detection through remote audio sensing to safeguard honeybee colonies,https://ieeexplore.ieee.org/document/10557729/,Barbisan et al.,2024,"Honeybees play a pivotal role in maintaining global ecosystems and agricultural productivity through their indispensable contribution to crop pollination. However, the alarming rise in honeybee mortality, attributed to various stress factors including climate change, has highlighted the urgency of implementing effective monitoring strategies. Remote sensing of beehives emerges as a promising solution, with a focus on understanding and mitigating the impacts of these stressors. Differently from other approaches proposed in the literature, this study specifically explores the potential of lightweight machine learning models and the extraction of compressed feature to enable future deployment on microcontroller devices. The experimentation involves the application of support vector machines and neural network classifiers, considering the influence of variable audio chunk durations, the utilization of different hyperparameters and combining the audio recorded in several hives and available in different datasets.",IEEE,"Audio (MFC, STFT)",,,"SVM, NN",Queen bee identification,detection
A machine learning-based multiclass classification model for bee colony anomaly identification using an IoT-based audio monitoring system with an edge computing framework,A machine learning-based multiclass classification model for bee colony anomaly identification using an IoT-based audio monitoring system with an edge computing framework,https://www.sciencedirect.com/science/article/abs/pii/S0957417424017652,Chen et al.,2024,"pproximately one-third of human food is derived from flowering plants, and 80% of those plants require honeybees for pollination. However, climate change is affecting bees as well as the beekeeping industry. Having continuous information on the condition of honey bee colonies would be helpful in studying new diseases such as colony collapse disorder, as well as in developing novel beekeeping tools to improve the health management of bee colonies. In this study, an audio monitoring system is established based on Internet of Thing (IoT) technology to record the sounds produced by bees. A colony status classification model coupled with a machine learning algorithm is used to analyze the sound data of bee colonies under various treatments to classify the colony conditions, such as queenless, virus-infected, and pesticide-contaminated. With an edge computing framework, the classification is done by the monitoring system, which greatly reduces data transmission delay and cloud computing burden. The field test results show that the accuracy and F1-score for the classification model for the beehive under various treatments reach 98.8% and 0.98, respectively. The proposed IoT-based audio monitoring system for beehives can assist beekeepers and users in managing bee colonies more effectively by providing automatic, accurate, and real-time monitoring information regarding the current colony conditions.",ScienceDirect,Audio,,,KNN,"to classify the colony conditions, such as queenless, virus-infected, and pesticide-contaminated.",classification
A Review on Predicting Bee Honey Production Using Machine Learning,A Review on Predicting Bee Honey Production Using Machine Learning,https://ieeexplore.ieee.org/document/10767605/,Ahumada-Garc´ıa et al.,2024,"Climate change has had a significant impact on honey bee production. For instance, droughts affect the availability of bees' food resources. Consequently, one emerging line of research involves the application of machine learning to model honey production. This paper presents a bibliographic review of machine learning research aimed at predicting honey yield. A comprehensive literature review was conducted using the primary scientific database known as WoS, followed by the systematization of information. The most noteworthy models identified are MARS (Multivariate Adaptive Regression Splines) and GBR (Gradient Boosting Regression). When applying MARS, the variables used include survey records, questions pertaining to social, economic, educational aspects, honey bee races, and production records. This model achieved a determination coefficient (r) of 0.920. With the GBR model, the main variables used relate to climatic records, image use, and harvest information. This technique can predict with an average error of ±10.3 kg for weight, with this weight being in the correct class 82% of the time. Current studies primarily employ more traditional statistics and machine learning techniques, with few exploring more innovative methodologies such as deep neural networks. Implementing these advanced algorithms poses a challenge, further compounded by the limited availability of unified databases for these developments, with information scattered across multiple sources.",IEEE/ 2024 43rd International Conference of the Chilean Computer Science Society (SCCC),"Multimodal (Time series, Image, Surveys)",,-,"MARS,GBR (Multivariate Adaptive Regression Splines)  (Gradient Boosting Regression).",review on ML models used to predict honey yield,
"Accurate Identification of Native Asian Honey Bee Populations in Jilong (Xizang, China) by Population Genomics and Deep Learning","Accurate Identification of Native Asian Honey Bee Populations in Jilong (Xizang, China) by Population Genomics and Deep Learning",https://www.mdpi.com/2075-4450/16/8/788,Liu et al.,2024,"The Jilong Valley, situated in Rikaze, Xizang, China, is characterized by its complex topography and variable climatic conditions, providing a suitable habitat for Apis cerana Fabricius, 1793. To facilitate the conservation of germplasm resources and maintain genetic diversity, it is imperative to elucidate the population structure and lineage differentiation of A. cerana within this ecologically distinct region. In this study, we collected A. cerana specimens from 12 geographically disparate locations across various altitudinal gradients within the Jilong Valley, and also integrated publicly available sequencing data of A. cerana from various regions across mainland Asia. In total, our analysis encompassed sequencing data from 296 individuals. Population structure analyses based on SNP data revealed that A. cerana in Jilong represents a genetically distinct population that differs markedly from other regional A. cerana populations in terms of genetic lineage, although its subspecies identity remains to be confirmed. Through screening based on FST values, we identified SNP loci that contribute significantly to distinguishing between Jilong and non-Jilong A. cerana. Using these loci, the convolutional neural network model TraceNet was trained, which demonstrated specific recognition capabilities for Jilong versus non-Jilong A. cerana. This further confirmed the universality and efficiency of TraceNet in identifying honey bee lineages. These findings contribute valuable insights for the identification and conservation of A. cerana germplasm resources in specific geographical regions.",MDPI,Tabular (Genomic Dataset),,,TraceNet,identify and distinguish Jilong bees from other geographic populations based on their genetic patterns.,detection
Artificial intelligence-driven tool for spectral analysis - identifying pesticide contamination in bees from reflectance profiling,Artificial intelligence-driven tool for spectral analysis - identifying pesticide contamination in bees from reflectance profiling,https://www.sciencedirect.com/science/article/pii/S0304389424030048,Bernardes et al.,2024,"Pesticide poisoning constantly threatens bees as they forage for resources in pesticide-treated crops. This poisoning requires thorough investigation to identify its causes, underscoring the importance of reliable pesticide detection methods for bee monitoring. Infrared spectroscopy provides reflectance data across hundreds of spectral bands (hyperspectral reflectance), presumably enabling the efficient classification of pesticide contamination in bee carcasses using artificial intelligence (AI) models, such as machine learning. In this study, bee contamination by commercial formulations of three insecticides—dimethoate (organophosphate), fipronil (phenylpyrazole), and imidacloprid (neonicotinoid)—as well as glyphosate, the most widely used herbicide globally, was detected using machine learning models. These models classified the hyperspectral reflectance profiles of the body surfaces of contaminated bees. The best-performing model, the linear discriminant analysis, achieved 98 % accuracy in discriminating contamination across species Apis mellifera, Melipona mondury, and Partamona helleri, with prediction speeds of 0.27 s. Our pioneering study introduced an effective method for discerning multiple classes of bees contaminated with pesticides using hyperspectral reflectance. An AI-driven spectral data analysis tool (https://github.com/bernardesrodrigoc/MACSS) was developed for the purpose of identifying and characterizing new samples through their spectral characteristics. This platform aids efforts to monitor and conserve bee populations and holds potential importance in environmental monitoring, agricultural research, and industrial quality control.",ScienceDirect,Other( Spectral reflection),,,"linear discriminant analysis (LDA), partial least squares discriminant analysis (PLS), support vector machine with linear kernel (SVML), support vector machine with radial kernel (SVMR), and random forest (RF), PCA",classify and detect pesticide contamination in bees,detection
Autonomous tracking of honey bee behaviors over long-term periods with cooperating robots,Autonomous tracking of honey bee behaviors over long-term periods with cooperating robots,https://www.science.org/doi/10.1126/scirobotics.adn6848,Ulrich et al.,2024,"Digital and mechatronic methods, paired with artificial intelligence and machine learning, are transformative technologies in behavioral science and biology. The central element of the most important pollinator species—honey bees—is the colony’s queen. Because honey bee self-regulation is complex and studying queens in their natural colony context is difficult, the behavioral strategies of these organisms have not been widely studied. We created an autonomous robotic observation and behavioral analysis system aimed at continuous observation of the queen and her interactions with worker bees and comb cells, generating behavioral datasets of exceptional length and quality. Key behavioral metrics of the queen and her social embedding within the colony were gathered using our robotic system. Data were collected continuously for 24 hours a day over a period of 30 days, demonstrating our system’s capability to extract key behavioral metrics at microscopic, mesoscopic, and macroscopic system levels. Additionally, interactions among the queen, worker bees, and brood were observed and quantified. Long-term continuous observations performed by the robot yielded large amounts of high-definition video data that are beyond the observation capabilities of humans or stationary cameras. Our robotic system can enable a deeper understanding of the innermost mechanisms of honey bees’ swarm-intelligent self-regulation. Moreover, it offers the possibility to study other social insect colonies, biocoenoses, and ecosystems in an automated manner. Social insects are keystone species in all terrestrial ecosystems; thus, developing a better understanding of their behaviors will be invaluable for the protection and even the restoration of our fragile ecosystems globally.",ScieneRobotics,Images / video dataset,,,CNN,"detecting bee behaviors such as egg-laying, tracking the queen, and identifying worker interactions. to enable a deeper understanding of the innermost mechanisms of honey bees’ swarm-intelligent self-regulation.",tracking & pose estimation
Bee detection in bee hives using selective features from acoustic data,Bee detection in bee hives using selective features from acoustic data,https://link.springer.com/article/10.1007/s11042-023-15192-5,Rustam et al.,2024,"Honeybees, a key pollinator of the world’s most cultivated crops, are experiencing colony collapses due to a variety of factors. The existence of honeybees and queens is critical to the sociality of a colony, and the presence of bees in agricultural settings is vital to the ecological balance. Moreover, beehives without a queen may lead to the decline of an entire colony therefore finding them through effective and an accurate approach is a critical task. In this scenario, we analyzed acoustic/sound data of various classes (i.e. Bee, NoBee, and NoQueen) from beehive colonies. This study examines five distinct features including spectral centroid, zero-crossing rate, Mel-frequency cepstral coefficients (MFCC), chromagram, and constant Q-transform characteristics for their suitability in detecting bees using the acoustic data. In addition, selective features using principal component analysis (PCA), Chi-square analysis (Chi2), and singular value decomposition (SVD) are used. Moreover, the study proposes hybrid features where selective PCA, Chi2, and SVD characteristics are integrated to create a suitable feature set. Experimental results exhibit the suitability of the hybrid feature set which outperformed individual features for “Bee”, “NoBee” and “NoQueen” classes prediction. Cross-validation and T-test results also confirm the superior performance of hybrid MFCC features. The results indicate that RF and KNN show better performance than other machine learning models with maximum accuracy scores of 0.82 and 0.83, respectively.",SpringerNature,"Audio (spectral centroid, zero-crossing rate, MFCC, chromagram, and constant Q-transform)",,,"PCA,KNN, LR, SVC, and RF",bee detection using a sound dataset,detection
Bee Disease Varroa Prediction Utilizing Convolutional Neural Networks with Augmentation for Robust Detection and Identification of Honeybee Infection,Bee Disease Varroa Prediction Utilizing Convolutional Neural Networks with Augmentation for Robust Detection and Identification of Honeybee Infection,https://ieeexplore.ieee.org/abstract/document/10798343,Sharma et al.,2024,"Honeybees, integral to global pollination and food security, confront an imminent threat posed by the Varroa destructor mite. Timely identification of Varroa infestations is pivotal for sustaining bee populations. This research introduces a pioneering strategy for early detection, harnessing cutting-edge deep learning methodologies, specifically centered around Convolutional Neural Networks (CNNs), with emphasis on ResNet and Inception models. Additionally, we deploy data augmentation techniques to refine model training. Employing Contrast Limited Adaptive Histogram Equalization (CLAHE) as a preprocessing measure enhances image quality and elevates detection precision. Our findings exhibit substantial advancements in Varroa mite identification, promising improved bee health management and fostering sustainable pollination practices. The outcomes of our experiments are promising, suggesting that our proposed approach enhances the process of identifying bee disease. This improvement holds the potential to yield superior uncovering results compared to existing methods.",IEEE,Images,,,"Resnet50, CNN, Inception Models",Varroa mite detection in honeybee populations,detection
Bee Hive Acoustic Monitoring and Processing Using Convolutional Neural Network and Machine Learning,Bee Hive Acoustic Monitoring and Processing Using Convolutional Neural Network and Machine Learning,https://ieeexplore.ieee.org/document/10524087/,Sakova et al.,2024,"This article focuses on utilizing artificial intelligence in monitoring bee colonies by analyzing their sound manifestations through smart sensor networks. It examines available datasets of recorded audio data from the hives. The collection of sound samples is realized through embedded systems consisting of micro-controllers, microphones and various sensors (e.g. temperature, humidity, pressure, weight, etc.) in the nodes of the smart sensor networks located in the hives of our interest. Subsequently, we test the ability of deep learning algorithms to predict the presence of the queen bee in the hive. The work implements models of two deep-learning algorithms and evaluates the created models’ performance in processing sound for one-dimensional signals.",IEEE,Audio (1D spectrum),,-,"LSTM, 1DCNN",Classification of bee colony sounds (queen bee presence),classification
Bee together Joining bee audio datasets for hive extrapolation in AI-based monitoring,Bee together Joining bee audio datasets for hive extrapolation in AI-based monitoring,https://www.mdpi.com/1424-8220/24/18/6067,Bricout et al.,2024,"Beehive health monitoring has gained interest in the study of bees in biology, ecology, and agriculture. As audio sensors are less intrusive, a number of audio datasets (mainly labeled with the presence of a queen in the hive) have appeared in the literature, and interest in their classification has been raised. All studies have exhibited good accuracy, and a few have questioned and revealed that classification cannot be generalized to unseen hives. To increase the number of known hives, a review of open datasets is described, and a merger in the form of the “BeeTogether” dataset on the open Kaggle platform is proposed. This common framework standardizes the data format and features while providing data augmentation techniques and a methodology for measuring hives’ extrapolation properties. A classical classifier is proposed to benchmark the whole dataset, achieving the same good accuracy and poor hive generalization as those found in the literature. Insight into the role of the frequency of the classification of the presence of a queen is provided, and it is shown that this frequency mostly depends on a colony’s belonging. New classifiers inspired by contrastive learning are introduced to circumvent the effect of colony belonging and obtain both good accuracy and hive extrapolation abilities when learning changes in labels. A process for obtaining absolute labels was prototyped on an unsupervised dataset. Solving hive extrapolation with a common open platform and contrastive approach can result in effective applications in agriculture.",MDPI,Audio (MFCC),,,"CNN, KNN, SVM",dataset for hive monitoring,monitoring & health assessment
BEEHIVE A dataset of Apis mellifera images to empower honeybee monitoring research,BEEHIVE A dataset of Apis mellifera images to empower honeybee monitoring research,https://www.sciencedirect.com/science/article/pii/S2352340924010175,Micheli et al.,2024,"This data article describes the collection process of two sub-datasets comprehending images of Apis mellifera captured inside a commercial beehive (“Frame” sub-dataset, 2057 images) and at the bottom of it (“Bottom” sub-dataset, 1494 images). The data was collected in spring of 2023 (April–May) for the “Frame” sub-dataset, in September 2023 for the “Bottom” sub-dataset. Acquisitions were carried out using an instrumented beehive developed for the purpose of monitoring the colony's health status during long periods of time. The color cameras used were equipped with different lenses accordingly (liquid lenses for the internal one, standard lens of 8 mm focal length) and actuated by an embedded board, alongside red LED strips to illuminate the inside of the beehive. Images captured by the internal camera were mostly out-of-focus, thus a filtering procedure based on the adoption of focus measure operators was developed to keep only the in-focus ones. All images were manually labelled by experts using 2-class bounding boxes annotations representing full visible bees (class “bee”) and blurred or occluded bees according to the sub-dataset (“blurred_bee” or “occluded_bee” class). Annotations are provided in YOLO v8 format. The dataset can be useful for entomology research empowered by computer vision, especially for counting tasks, behavior monitoring, and pest management, since a few occurrences of Varroa destructor mites could be present in the “Frame” sub-dataset.",ScienceDirect,Images,,,-,dataset for hive monitoring,monitoring & health assessment
